Keyword,Title,Date,Location,Icon,Link
,39th Annual Bob Pantaleo Memorial Indoor Tournament,"Mar 9 - 10, 2019","North Babylon, NY",,Public/Results/Tournament.aspx?IDTournament=h20190128184739399d58fc190061141
,Test 1,"May 23, 2018 - May 24, 2019","granville, ny • Saratoga Springs, NY",,Public/Results/Tournament.aspx?IDTournament=h2017022308133943800897d11536f49
,Spring Mon Indoor Volleyball,"Mar 18 - May 20, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190131194212480e987b6c56c6743
,Håckes Cup 2019,"Mar 9 - 10, 2019","Växjö, ZZ",,Public/Results/Tournament.aspx?IDTournament=h20180822074550428a014e79714df46
,Futsal Tournament Series - Lou Ramos Center,"Feb 3, 2019","Allentown, PA",,Public/Results/Tournament.aspx?IDTournament=h201807191226480956970083cd0f442
,NJ Cheetahs 12U Spring Clash of the Bats,"May 4 - 5, 2019","Edison, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190111221312150a0965ce4d8ae4a
,AAU SPORTSFEST:  GIRLS VOLLEYBALL,"Feb 23 - 24, 2019","FRANKLIN, TN",,Public/Results/Tournament.aspx?IDTournament=h20190111123936897a61ecd9b832740
,2018-19 Winter Ultimate,"Nov 30, 2018 - Feb 8, 2019","East Petersburg, PA • Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h2018112201554088412c7ce9c1de54d
,Futsal Tournament Series Final  - LVU,"Feb 10, 2019","Allentown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180720170552085a7120c6171c94c
,21st Annual Michelle Sullivan Fund Softball Tournament,"May 3 - 5, 2019","Montville, NJ • Pine Brook, NJ • Towaco, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190131135016395ae20e9ef5fd649
,AAU SPORTSFEST:  GIRLS BASKETBALL,"Feb 23 - 24, 2019","FRANKLIN, TN",,Public/Results/Tournament.aspx?IDTournament=h20190111125800373daa0c3cfb5f945
,2019 Spring Ultimate Frisbee League,"Mar 8 - May 31, 2019","East Petersburg, PA • Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201903011838020963620b51989c24a
,2018-19 Lanco Youth Indoor Soccer League,"Dec 7, 2018 - Mar 31, 2019","East Petersburg, PA",,Public/Results/Tournament.aspx?IDTournament=h2018120120034407423f6feb3aec340
,AAU SPORTSFEST:  BOYS BASKETBALL,"Feb 23 - 24, 2019","FRANKLIN, TN",,Public/Results/Tournament.aspx?IDTournament=h201901111303330420b88b81fbf944b
,2019 Winter Dodgeball League,"Jan 14 - Mar 11, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201901081510577400af8ff54d48c43
,Spring Fling 2019,"Apr 13 - 14, 2019","Chester, NY",,Public/Results/Tournament.aspx?IDTournament=h201904091639262797f9d5ad7a51b4b
,2019 Iowa AAU 6th Grade State Tournament,"Mar 23, 2019","INDIANOLA, IA",,Public/Results/Tournament.aspx?IDTournament=h20190307211239596c6440f326e2b46
,2019 Spring Dodgeball,"Apr 1 - Jun 3, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h2019032515354456064153b1d582a4e
,2019 Renegade Rumble,"May 3 - 5, 2019","Medford, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190417123040601827b3dcf2c024d
,9th Grade CVA,"Mar 9, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190301192649754c7ea065af3e345
,2019 Spring Battleball Tournament,"Feb 24, 2019","Mechanicsburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190219173901573539d82d0ec2f46
,Centennial Volleyball Academy 8th Grade,"Mar 2, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190218145756455cab7153a16d84b
,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",,Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e
,Saint Andrews Invite 2019,"Feb 22 - 23, 2019","Boca Raton,, FL",,Public/Results/Tournament.aspx?IDTournament=h201811141928026796751b3c2b00f40
,March Madness Round Robin,"Mar 2 - 3, 2019","West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h20181227202208428ac926684ba1049
,Centennial Volleyball Academy 6th Grade AAU,"Feb 2, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h2019012700411103746b5722d57de48
,3d New England Spring 7v7,"Mar 24, 2019","West Roxbury, MA",,Public/Results/Tournament.aspx?IDTournament=h20190318142914185955bff5f852148
,Team Breakdown,"Aug 1, 2018 - Jun 1, 2019","Boca Raton, FL",,Public/Results/Tournament.aspx?IDTournament=h20170918160213773e51831dfdcbc4a
,Winter Finale Round Robin ,"Mar 30, 2019","West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h201902061621107964d813d15ee4b46
,Centennial Volleyball Academy 6th Grade,"Mar 9, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190219001248599d64823eb572b44
,Cape Ice Classic 2019,"Feb 15 - 17, 2019","Hyannis, MA",,Public/Results/Tournament.aspx?IDTournament=h20181029040032081954b16abe7a549
,CELL Winter Session,"Dec 2, 2018 - Feb 10, 2019","Acton, MA",,Public/Results/Tournament.aspx?IDTournament=h20181125214548721f5a252f81ea945
,TM Demo 3,"Apr 17, 2019","Oshawa, ON • Pittsburgh, PA",,Public/Results/Tournament.aspx?IDTournament=h201904171555045571d6bf569eeb94b
,2019 High School Dome Softball League,"Jan 2 - Feb 24, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20181115181622788370ecbea210f45
,CVA 4th Grade March 9th,"Mar 9, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h201902270041021173549fcead7fe4b
,Seacoast United U-16 RCC,"May 4 - 5, 2019","Epping, NH",,Public/Results/Tournament.aspx?IDTournament=h2019040518305153247ca5c458eac44
,South Windsor Robin Klemba Bobcat Blast,"Apr 27, 2019","South Windsor, CT",,Public/Results/Tournament.aspx?IDTournament=h20190422175940624b0f6d099b6d44d
,TM Demo2,"Apr 17, 2019","Oshawa, ON • Pittsburgh, PA",,Public/Results/Tournament.aspx?IDTournament=h20190416200710773f4e36f0c531c4c
,2019 Spring Lanco Coed Soccer,"Apr 15 - Jun 17, 2019","East Petersburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190408140044001ec986dff4e524b
,2019 Winter Softball Tournament Series,"Feb 16 - Apr 19, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201902011457335824e1d2d59f18b43
,Centennial Volleyball Academy 5th Grade AAU,"Feb 2, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190127050842272999afa0937ec47
,HTC Winter Hardcourt Tournament II,"Feb 2, 2019","Tolland, CT",,Public/Results/Tournament.aspx?IDTournament=h201901241940077052e09ec1962714b
,3X NE - CT Sportsplex 2019,"Feb 18, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h201902152227117316aa49b3d50c746
,TM Demo,"Apr 19 - 21, 2019","Oshawa, ON • Pittsburgh, PA",,Public/Results/Tournament.aspx?IDTournament=h2019032114320422839b69aa0739541
,2018-19 Nook Youth Indoor Soccer League,"Jan 5 - Mar 10, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201812271644381089dd18bf8b33340
,Starz Gold March Matchups,"Mar 23 - 24, 2019","Henrico, VA",,Public/Results/Tournament.aspx?IDTournament=h20171031123609816e9bfc67bbe3f42
,Centennial Volleyball Academy 4th Grade AAU,"Feb 9, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h201902031654056760bc1eb605dbd4d
,NSHA Eastern Regional,"Mar 23 - 31, 2019","Bellmawr, NJ • Evesham Twp., NJ • Philadelphia, PA",,Public/Results/Tournament.aspx?IDTournament=h2019030800181302019cc4971392a4e
,2019 Shamrock Shootout,"Mar 16, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h201902201435234829cfbfa7271ab45
,3rd Annual Ian Supra Memorial Water Polo Tournament,"Mar 8 - 9, 2019","Orlando, FL",,Public/Results/Tournament.aspx?IDTournament=h201902121622475867aadb4239ed746
,Starz Gold  Spring Challenge,"May 4 - 5, 2019","Henrico, VA",,Public/Results/Tournament.aspx?IDTournament=h201811280151497816b67382495fb40
,Centennial Volleyball Academy 7th Grade AAU,"Feb 16, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h2019021019310451409e1eb3e76884d
,Viper Sports Club Indoor Tournament,"Feb 2, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h20190126214455064c420ec32718b42
,2019 SPRING LAX JAM BOYS TOWN & GIRLS,"Apr 20, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190403144258324aa0779ecfb774c
,AAU TN Boys Basketball - Knoxville,"May 4 - 6, 2019","Sevierville, TN",,Public/Results/Tournament.aspx?IDTournament=h2018031816021970795b48b6e0a4c4d
,2019 Youth Futsal League,"Jan 11 - Mar 8, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201901071716002713dffa27f43e347
,The 22nd Annual Cherry Blossom Tournament,"Apr 27 - 28, 2019","Annandale, VA • Falls Church, VA • Vienna, VA",,Public/Results/Tournament.aspx?IDTournament=h201903270214002972d863d5c5ffd4e
,2019 Spring Spirit Volleyball,"Apr 7 - May 19, 2019","Lincoln, NE",,Public/Results/Tournament.aspx?IDTournament=h201903191600407234d81b477016c4d
,UPDATED: Viper Sports Club Indoor Tournament,"Feb 9, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h20190205014005112a2983fd9d4b145
,2019 SPRING LAX JAM BOYS TRAVEL,"Apr 27, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190418145932829dc1012cd06a44b
,AAU TN Boys Basketball - Chattanooga,"Apr 13 - 15, 2019","Chattanooga, TN",,Public/Results/Tournament.aspx?IDTournament=h2018031815574591892ea2ad63aaf43
,Lanco 2019 Winter 2 Coed Soccer,"Jan 28 - Apr 8, 2019","East Petersburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190119003047875031c7fbd09dc4f
,Lady Rebels Spring Play Day,"May 5, 2019","Horseheads, NY",,Public/Results/Tournament.aspx?IDTournament=h20181102125149304425a3d84d10a48
,2019 Wyoming Grand Prix,"Apr 27 - 28, 2019","Casper, WY",,Public/Results/Tournament.aspx?IDTournament=h201903252031327013d42e6a02e3d49
,UPDATED: Viper Sports Club Indoor Tournament,"Feb 10, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h2019020521040871401950d3412d646
, 2019 10th Annual Christian Koehler Lacrosse Tournament,"May 11, 2019","East Islip, NY",,Public/Results/Tournament.aspx?IDTournament=h20190129233554017b128a4b71eb34a
,Nook 2019 Winter 2 Coed Soccer League,"Jan 29 - Mar 26, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190122160617068ee7b182c107547
,36th Annual UVA Law Softball Invitational,"Apr 5 - 7, 2019","Charlottesville, VA",,Public/Results/Tournament.aspx?IDTournament=h2019032722520601329f156f06d0a42
,Queen Vicki 2019,"Mar 23 - 24, 2019","Richmond, BC",,Public/Results/Tournament.aspx?IDTournament=h20190227030344579d1b19e4816b742
,Viper Sports Club Indoor Tournament,"Feb 16, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h201902091900463995aa7106ab2e44f
,King of the Hill,"May 4, 2019","Dix Hills, NY",,Public/Results/Tournament.aspx?IDTournament=h201904230006555870f8c6908e4874a
,Mock,"Apr 13, 2019","Palmetto Bay, FL",,Public/Results/Tournament.aspx?IDTournament=h2018111602043512788588f3302a149
,Winter Spike,"Feb 24, 2019","Renton, WA",,Public/Results/Tournament.aspx?IDTournament=h20190221035609791d3135cc07b7f4f
,Viper Sports Club Indoor Tournament,"Feb 17, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h20190209193050652b0718fd72dbd47
,Blatant Town Cup,"Apr 13, 2019","Huntington Station, NY",,Public/Results/Tournament.aspx?IDTournament=h201811131658395511d4b8324d4894f
,Spring Mon Friendly Kickball,"Mar 18 - May 27, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190131192517580d76a981cf25240
,Spring Challenge 2019,"Apr 27 - 28, 2019","San Diego, CA",,Public/Results/Tournament.aspx?IDTournament=h2019020607392028698adbc7297a64d
,Viper Sports Club Indoor Tournament,"Feb 23, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h2019021614215993829b441bbd8e841
,USBOXLA Island Box Presidents Cup,"Feb 16, 2019","Bethpage, NY",,Public/Results/Tournament.aspx?IDTournament=h201901232247303961f17ae5a733b4b
,Spring Tues Friendly Kickball,"Mar 19 - May 21, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2019013119273524069c2a14938f14d
,2019 Winter Finale Futsal Tournament,"Mar 3, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190227172702190e14989574fbb47
,PGF Tarheel Classic Series Easter Classic,"Apr 13 - 14, 2019","Locust, NC • Oakboro, NC",,Public/Results/Tournament.aspx?IDTournament=h201812291605424991a53d1a212334d
,LAVO Spring 2019 League,"Mar 1 - Jun 10, 2019","Los Angeles, CA • West Hollywood, CA",,Public/Results/Tournament.aspx?IDTournament=h2019021220493827757b4ac0f0f4b44
,Viper Sports Club Indoor Tournament,"Feb 24, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h2019021615064442094791f48c92348
,4th Annual Penguin Invitational Sponsored by Team  Igloo,"May 4, 2019","Brookville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190104141449505e5b03bb143b246
,Spring Wed Open Kickball,"Mar 20 - May 22, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2019013119342887557557bf0e7b545
,Nook 2019 Spring Coed Soccer,"Apr 2 - May 28, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190326165343732071b182ee6d149
,PGF Tarheel Classic,"May 11 - 12, 2019","Lancaster, SC • Locust, NC • Rock Hill, SC • York, SC",,Public/Results/Tournament.aspx?IDTournament=h20180920003141561e186998fac384f
,Gold Rush 2019,"Mar 9, 2019","Carson, CA",,Public/Results/Tournament.aspx?IDTournament=h20190206073744487f23a12c5818441
,CT Sportsplex Session 2 Adult Flag Football,"Jan 7 - Mar 18, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h2019010420353460376d4e8fc1dc74b
,Winter Freeze 2019,"Feb 9, 2019","West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h2019012316540149958ed3d9da35f40
,Ice Breaker Lacrosse Tournament 2019,"Mar 30 - Apr 7, 2019","Brookfield, CT",,Public/Results/Tournament.aspx?IDTournament=h201810171834536175a5cfff4a2434e
,Spring Sun Friendly 8v8 Kickball,"Apr 28 - Jun 30, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201901311921069524377e886f9414c
,Gold Cup Challenge #2,"Feb 9 - 10, 2019","Longwood, FL",,Public/Results/Tournament.aspx?IDTournament=h2018102001052710940ba90fe684a40
,GARDEN STATE PARKWAY,"Apr 20, 2019","Long Branch, NJ",,Public/Results/Tournament.aspx?IDTournament=h2019030921214702776d078f0879841
,USTC Winter Indoor Field Hockey Tournament,"Feb 2, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122301146cf35d4a2ad0242
,Ronald McDonald Lacrosse Tourney,"Mar 31, 2019","stamford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190228141501206a4d1f0f5d69144
,AAU TN Boys Basketball - Nashville,"May 4 - 6, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20180318151242207476894b5ce064a
,2019 Good Friday 3v3 Tournament,"Apr 19, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190415164532201ebb5d6742be948
,Gold Cup Challenge #3,"Mar 23 - 24, 2019","Longwood, FL",,Public/Results/Tournament.aspx?IDTournament=h20181020010845683108e613a517847
,TOUGH DAY 2019,"May 11, 2019","Westampton, NJ",,Public/Results/Tournament.aspx?IDTournament=h2018051818013322868bf80b6df454d
,Winter Indoor Field Hockey Tournament,"Feb 9, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122316617807d6c47aa5645
,South Salem Spring Shootout,"May 4 - 5, 2019","South Salem, NY",,Public/Results/Tournament.aspx?IDTournament=h2019041617113525210924aedc10142
,High School Rugby Border Battle,"Apr 13 - 14, 2019","Wisconsin Dells, WI",,Public/Results/Tournament.aspx?IDTournament=h201812062033378320c524a18105240
,Futsal Tournament Series - Spooky Nook,"Feb 2, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20181112185212222f5b0f8ffbeda45
,Florida PGF 10U Challenge,"May 11, 2019","Longwood, FL",,Public/Results/Tournament.aspx?IDTournament=h201811071847302225525524a67f94d
,Next Level Greats Invitational - New Jersey,"May 4 - 5, 2019","Mount Laurel, NJ",,Public/Results/Tournament.aspx?IDTournament=h201901161550598444daad044ffc34f
,Winter Indoor Field Hockey Tournament,"Feb 16, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122330312af3bc4a9281441
,Trilogy MetLife Stadium Classic 2019,"Apr 14, 2019","East Rutherford, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190408131206027c3a4f996871045
,AAU Mid South Regional,"May 11 - 13, 2019","Memphis, TN",,Public/Results/Tournament.aspx?IDTournament=h201804161723155806ee29fb4347841
,2019 D9 Citrus Blossom,"Feb 15 - 17, 2019","Kissimmee, Fl",,Public/Results/Tournament.aspx?IDTournament=h20190118224141265bfeda08f78764e
,PA SWAG East Coast Elite 7v7,"Apr 13 - 14, 2019","Fort Washington, PA",,Public/Results/Tournament.aspx?IDTournament=h20190116182100958d9a2c59d205349
,(CANCELLED) Feb 18th Winter Indoor Field Hockey Tournament,"Feb 18, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122356081fe08a0654fc342
,O2 Skyline Tournament Youth Division,"Feb 9 - 10, 2019","North Arlington, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190204183016255699da5932a374d
,Montana Regional Science Bowl,"Mar 9, 2019","Billings, MT",,Public/Results/Tournament.aspx?IDTournament=h20190207212019367ef9df4a3cb7743
,"Miami, FL ","Apr 28, 2019","Miami, FL",,Public/Results/Tournament.aspx?IDTournament=h201902182126373561dfeb54e740b45
,2019 D9 Presidents Weekend,"Feb 16 - 18, 2019","Kissimmee, Fl",,Public/Results/Tournament.aspx?IDTournament=h20181102191905560003f23180fad4f
,Scholastic Training:  WAIT LIST PLAYERS,"Oct 8, 2018 - Apr 14, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201810071259081653998ff2df9ef4f
,BATTLE AT THE BEACH,"Mar 23 - 24, 2019","VIRGINIA BEACH, VA",,Public/Results/Tournament.aspx?IDTournament=h20190225122527072765714bd83c843
,Winter Indoor Field Hockey Tournament,"Feb 23, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122427550593cb3172bdf4a
,Trilogy Winter League (2018-19),"Dec 1, 2018 - Feb 10, 2019","Clifton, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181119185139094481cb637b0e44d
,Chandler Prep Tennis Invite 2019,"Mar 29 - 30, 2019","Tempe, AZ",,Public/Results/Tournament.aspx?IDTournament=h201903270451432688ba90ad3c39b43
,"Weston, FL ""Weston Blast""","Mar 17, 2019","Weston, FL",,Public/Results/Tournament.aspx?IDTournament=h201812071520590347c276578f8484b
,Coastal Cup,"Apr 20, 2019","Pooler, GA",,Public/Results/Tournament.aspx?IDTournament=h2018112303032487656a4a6c2f2344b
,Scholastic Volleyball Training,"Oct 8, 2018 - Apr 14, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201809131728266537cb086b20d3f47
,2019 Spring Adult Flag Football,"Mar 20 - Jun 5, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190313132513096b5b014a47e4443
,Spring Flick 7v7 Tournament,"Apr 27, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h2018122115412538935dac1aa11f04f
,MLK Lacrosse Invitational,"Jan 14, 2017 - Jan 14, 2020","Hightstown, NJ • Wayne, NJ",,Public/Results/Tournament.aspx?IDTournament=h201612020900577398279a77880d046
,USA Boxing,"Mar 2 - 6, 2019","Reno, NV",,Public/Results/Tournament.aspx?IDTournament=h201903011608088997b599d95eefe44
,2019 February Fireball,"Feb 9, 2019","Elizabeth, PA",,Public/Results/Tournament.aspx?IDTournament=h2019012420024916067a143cade534b
,LEE COUNTY ICE BREAKER,"Feb 16 - 17, 2019","Fort Myers, FL",,Public/Results/Tournament.aspx?IDTournament=h20181208203300173941e7613713049
,WINTER VOLLEYBALL LEAGUE,"Jan 7 - Feb 15, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20181204134114695f0ec6b02a5c142
,I-95 7v7 Shootout Tournament,"Mar 30, 2019","Woodbine, MD",,Public/Results/Tournament.aspx?IDTournament=h201903290006157946e574af8824440
,May Day 7v7 Field Hockey Tournament,"May 11, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h201812211543444140aaf59b2a41945
,Turf City Winter Indoor League 2018/19,"Dec 1, 2018 - Feb 10, 2019","Wayne, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181126163738605a34f1327999541
,2019 Sacramento Regional Science Bowl,"Feb 23, 2019","Rancho Cordova, CA",,Public/Results/Tournament.aspx?IDTournament=h20190110213455937fed94ad8ebe540
,2019 Shamrock Shootout,"Mar 23, 2019","Elizabeth, PA",,Public/Results/Tournament.aspx?IDTournament=h201903122036274492316ea65754248
,USA Fastpitch National Championships Futures Qualifier 10/12/14u,"Mar 2 - 3, 2019","Jacksonville, FL",,Public/Results/Tournament.aspx?IDTournament=h20180827020211178f560ddfa30b24d
,Spring 1 Academy,"Mar 4 - Apr 12, 2019",,,Public/Results/Tournament.aspx?IDTournament=h2019012819123114448257725ab1543
,NFA7v7 Mid-Atlantic Regional,"May 11 - 12, 2019","Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h2019022719585910137a59d1fec9444
,Steel Winter Shootout,"Mar 1 - 3, 2019","Brasher Falls, NY • Chase Mills, NY • Fort Covington, NY • Potsdam, NY",,Public/Results/Tournament.aspx?IDTournament=h2019012319353988500f81cdbcdb442
,Garden State Box Battle 2019,"Jan 5 - Feb 2, 2019","Edison, NJ",,Public/Results/Tournament.aspx?IDTournament=h2018092700193671941e013f2055c4b
,9FRUITS GIFT CARDS,"Jan 1 - Dec 31, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190105125003209e1fac7f94e834e
,Windy Ridge Soccer Tournament Fundraiser for Young Mens Program,"May 4, 2019","Orlando, FL",,Public/Results/Tournament.aspx?IDTournament=h20190309150523704bacf3c4c05e643
,RAW ROUNDUP,"Feb 8 - Mar 2, 2019","New Castle, PA",,Public/Results/Tournament.aspx?IDTournament=h20180810170235225fcf3956c0c8444
