Keyword,Title,Date,Location,Icon,Link
,Pell City March Madness,"Mar 23 - 24, 2019","Pell City, AL",,Public/Results/Tournament.aspx?IDTournament=h2019020416302073071a844ab55eb4c
,"6th Annual Hoopsfest Classic - Sponsored by Haylor, Freyer and Coon Insurance","Mar 23 - 24, 2019","Johnson City, NY",,Public/Results/Tournament.aspx?IDTournament=h201901071647496212525eb398e0448
,Passover The Diamonds - Saturday Only,"Apr 20, 2019","Andalusia, AL",,Public/Results/Tournament.aspx?IDTournament=h201901241723289334a88c5c324d248
,2019 NYB Master Schedule,"Mar 4 - Jun 19, 2019","NOBLESVILLE, IN",,Public/Results/Tournament.aspx?IDTournament=h20181114160130700cb7b660ef3ac41
,"Field of Dreams Sunday Showcase Series #1 - one day, 3 games!","Apr 14, 2019","Noblesville, IN",,Public/Results/Tournament.aspx?IDTournament=h201809271155450687617af0c093042
,2019 Spring Coed Basketball,"Apr 1 - May 20, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190325153904531049a697bf3544f
,King of the Corn ,"Apr 25 - 28, 2019","Noblesville, IN",,Public/Results/Tournament.aspx?IDTournament=h201808141603011158b50726b360a44
,Field of Dreams Sunday Showcase Series #2 ,"May 5, 2019","Noblesville, IN",,Public/Results/Tournament.aspx?IDTournament=h201809271200044604f0b43b80e1840
, BDT March Madness Hoop Fest,"Mar 16 - 17, 2019","Baltimore, MD",,Public/Results/Tournament.aspx?IDTournament=h20190311230115379ff175f304c814b
,WYSI Rec Regular Season,"Apr 8 - Jun 25, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h2019031414472612797a78fa7555d46
,BDT Pre-Easter Slam 2019,"Apr 13 - 14, 2019","Baltimore, MD",,Public/Results/Tournament.aspx?IDTournament=h201904082331233846cadf710ec0a48
,Midwest Select,"Apr 12 - 13, 2019","Westfield, In",,Public/Results/Tournament.aspx?IDTournament=h20190409234552417d0e3614d747b46
,Bump City Spring Shoot-Out 2019,"Apr 5 - 7, 2019","Baltimore, MD • Cooksville, MD • Elliott City, MD • Fort Meade, MD • Laurel, MD",,Public/Results/Tournament.aspx?IDTournament=h20190326204207784ed7abedad4c34c
,Spring Shootout,"Apr 12 - 14, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h201809181746517845b4a77af0ece41
,Atlantic Coast regional Championship,"Apr 13 - 14, 2019","Baltimore, MD • Cooksville, MD • Laurel, MD • Towson, MD",,Public/Results/Tournament.aspx?IDTournament=h2019032614192296094d6bdcc65714c
,Survivor Series,"Apr 19 - 20, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h2018091817485771256a40076de9f48
,DMVelite Live Period Warm Up,"Apr 19 - 21, 2019","Camp Springs, MD • Forestville, MD • Upper Marlboro, MD",,Public/Results/Tournament.aspx?IDTournament=h201903172116075087384e447102140
,USSSA Grand Park Showdown,"Apr 26 - 28, 2019","Westfield, in",,Public/Results/Tournament.aspx?IDTournament=h2018091818011461205df1e2b5da048
,"Maryland Sharks  ""Mid-Atlantic March Madness & USA Basketball Alliance"" Tournament","Mar 23 - 24, 2019","Catonsville, MD • Halethorpe, MD",,Public/Results/Tournament.aspx?IDTournament=h201903210733444481b9c5ff1c45749
,May Slugfest,"May 3 - 5, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h201809181801299716d32888b6e594d
,Inner Harbor Hoop Fest,"Mar 30 - 31, 2019","Baltimore, MD",,Public/Results/Tournament.aspx?IDTournament=h20190326210709113101f7764d5624a
,2019 HS & College Games,"Feb 4 - Jun 1, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h20190205201452220d91670ecea9043
,Battle for the Beltway,"Apr 27 - 28, 2019","Baltimore, MD",,Public/Results/Tournament.aspx?IDTournament=h201904231636199810d14576a4dec48
,USSSA Turf Madness NIT,"Mar 29 - 31, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h20180918173424745fcc2bd302a3d4d
,FBCG Game Changer 2019,"May 1 - 4, 2019","Upper Marlboro, MD",,Public/Results/Tournament.aspx?IDTournament=h2019043001271325298a9feb9aab84c
,Shamrock Classic,"Apr 5 - 7, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h201809181745406837ab3b4952b4747
,Pizza Hut Mid Atlantic Championship,"Apr 13 - 14, 2019","Annville, PA • Harrisburg, PA",,Public/Results/Tournament.aspx?IDTournament=h201904081406223200a11c8b4495c4e
,Easter Egg Scramble - No Sunday 8U Chelsea,"Apr 20, 2019","Alabaster, AL • Calera, AL • Chelsea, AL • Helena, AL • Leeds, AL • Montevallo, AL • Pelham, AL • Trussville, AL",,Public/Results/Tournament.aspx?IDTournament=h20180624114258398f39ecc60a64445
,USBA MARYLAND REGIONAL QUALIFIER,"Apr 13 - 14, 2019","BALTIMORE, MD",,Public/Results/Tournament.aspx?IDTournament=h20190408225839852ac0483a82df444
,Cinco de Mayo - Chelsea/Alabaster/Leeds,"May 4 - 5, 2019","Alabaster, AL • Birmingham, AL • Chelsea, AL • Helena, AL • Leeds, AL • Pelham, AL",,Public/Results/Tournament.aspx?IDTournament=h201806241146031152d3dbf0e4d1444
," Maryland Sharks  ""Mid-Atlantic Spring Hoopfest"" Basketball Tournament","Apr 6 - 7, 2019","Catonsville, MD",,Public/Results/Tournament.aspx?IDTournament=h201904050206033367f2681d25d874d
,"USBA Greenville Shootout (Greenville, NC)","Mar 30 - 31, 2019","AYDEN, NC • GREENVILLE, NC • GRIFTON, NC • WINTERVILLE, NC • WINYERVILLE, NC",,Public/Results/Tournament.aspx?IDTournament=h20190327020028603851a5042319f48
,2019  April Showdown-4GG,"Apr 6 - 7, 2019","Gallatin, TN • Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2018121423213134745c4e8e4c79b4f
,DMVelite Winter League,"Jan 12 - Feb 23, 2019","Glendale, MD",,Public/Results/Tournament.aspx?IDTournament=h20181128010421177118d1c64269948
,2019 April Triple-Play,"Apr 13 - 20, 2019","Gallatin, TN • NASHVILLE, TN",,Public/Results/Tournament.aspx?IDTournament=h20181214232256913306888e3814f4a
,Columbia Ravens Winter Classic,"Mar 16 - 17, 2019","Columbia, MD • Ellicott City, MD",,Public/Results/Tournament.aspx?IDTournament=h20190314110438585a62faec96d2149
,10u Eagle Rumble,"May 2 - 5, 2019","Whitestown, IN",,Public/Results/Tournament.aspx?IDTournament=h20190422162514526407cdc2aa4d744
,March Madness 2019,"Mar 16 - 17, 2019","Cooksville, MD • Ellicott City, MD • Laurel, MD",,Public/Results/Tournament.aspx?IDTournament=h2019031213093817422743b79782c49
,HC Elite Spring Fling Tournament 2019,"Apr 27 - 28, 2019","Cooksville, MD • Ellicott City, MD • Laurel, MD",,Public/Results/Tournament.aspx?IDTournament=h2019042319453141859cbe5fa4dbe4a
,( Sat Only) Luck of the Irish!  8U-10U-11U Trussville ,"Mar 16, 2019","Trussville, AL",,Public/Results/Tournament.aspx?IDTournament=h20190122164243873ce38236489e949
,JR. Wizards Hoop Fest,"Mar 30 - 31, 2019","District Heights, MD",,Public/Results/Tournament.aspx?IDTournament=h2019032516565126601f92329b6f340
,GameChanger Championship & Skills Challenge - Calera/Alabaster,"Apr 6 - 7, 2019","Alabaster, AL • Calera, AL • Chelsea, AL • Helena, AL • Montevallo, AL • Pelham, AL • Trussville, AL",,Public/Results/Tournament.aspx?IDTournament=h20180624114040782a3350d1632a747
,DMV Opener,"Apr 13 - 14, 2019","District Heights, MD",,Public/Results/Tournament.aspx?IDTournament=h201904081957113910d8166b01f314c
,April Bash - Schedule UPDATED,"Apr 13 - 14, 2019","Alabaster, AL • Calera, AL • Chelsea, AL • Helena, AL • Hoover, a • Hoover, AL • Montevallo, AL • Pelham, AL • Trussville, AL",,Public/Results/Tournament.aspx?IDTournament=h20180624114158931078a0a561a8e44
,Kings and Queens of The DMV (Age/Grade Based Divisions),"Apr 20 - 21, 2019","Washington, DC",,Public/Results/Tournament.aspx?IDTournament=h201809201518234846029d8e2bd5c4d
,2X Points (Sat Only)  Survivor Belts  9U-10U-12U Trussville ,"Apr 13, 2019","Trussville, AL",,Public/Results/Tournament.aspx?IDTournament=h201901221921445052a2caf5c6ca345
,DISTRICT 2019 WINTER LEAGUE,"Dec 22, 2018 - Mar 17, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h20180928150907029667e041496db42
,BPA Wood Bat Honor the Game 10U-11U-12U Trussville ,"May 11, 2019","Trussville, AL",,Public/Results/Tournament.aspx?IDTournament=h20190123204148570551e33b384c94a
,2019 CHERRY BLOSSOM ASIAN TOURNAMENT,"Apr 6 - 7, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h201901231508319146b7b020bdb564c
,Elite Baseball Midwest Challenge - Four Winds Field,"May 3 - 5, 2019","South Bend, IN",,Public/Results/Tournament.aspx?IDTournament=h20180905171656439679f59f956f746
,USBA  Spring Classic,"Apr 26 - 28, 2019","ALEXANDRIA, VA",,Public/Results/Tournament.aspx?IDTournament=h20190423184405205703b6e3796654e
,Battle of the Beltway,"May 4 - 5, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h201903180255025499a016d06227740
,"BIG SHOTS VIRGINIA LIVE (NCAA CERTIFIED | Richmond, VA | 17U-14U Boys)","Apr 27 - 28, 2019","Mechanicsville, VA • Milford, VA • Ruther Glen, VA",,Public/Results/Tournament.aspx?IDTournament=h20181101202722157a234eba8b1ad48
,Schutt Up n Play Championship - Hoover East and Spain Park,"Mar 9 - 10, 2019","Birmingham, AL • Calera, AL • Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h20180624113642116ce72090fa40849
,5th Annual Nova 94 Feet Spring Shootout,"Apr 27 - 28, 2019","Alexandria, VA • Clifton, VA • McLean, VA • Reston, VA",,Public/Results/Tournament.aspx?IDTournament=h20190421002147327edd2003e9b2d42
,2019 Perfect Game TURF - New START TIME OF 9AM CST,"Apr 13 - 14, 2019","Birmingham, AL • Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h20180626123431260ba10ee25a81742
,2019 BRYC OPEN CLASSIC TOURNAMENT,"Apr 13 - 14, 2019","Alexandria, VA • Annandale, VA • Burke, VA • Clifton, VA • Fairfax, VA • Falls Church, VA • Springfield, VA",,Public/Results/Tournament.aspx?IDTournament=h20181010155359790bccd988b52014a
,2019 PGBA Tucci Championships,"Apr 26 - 28, 2019","Alabaster, AL • Birmingham, AL • Hoover, AL • Pelham, AL",,Public/Results/Tournament.aspx?IDTournament=h20180626123608360069ee676fdff47
,Run With The Pack,"Apr 20, 2019","Richmond, VA • Richmond,, VA",,Public/Results/Tournament.aspx?IDTournament=h2019041813012482741de42d320d64b
,Golden Spikes Opening Day Bash,"Mar 2 - 3, 2019","Old Hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h201811071735487552befbc5c542d4b
,AAU FORMAT TOURNEY,"Mar 8 - 10, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h2019011514230355882c0ae7c89b240
,Best of the Best Blast Qualfier 2,"Mar 30 - 31, 2019","old hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h2018111416405646696ca490062724d
,VIRGINIA vs MARYLAND,"Apr 6 - 7, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h20190115163508786b876b165b82a46
,Golden Spikes Spring Challange 10U-12U,"Apr 6 - 7, 2019","Old Hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h2018112118145925821116d27d1cf44
,DISTRICT VIT ,"Apr 13 - 14, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h20190123142637711259dd0991dcb40
,Golden Spikes Spring Challenge 7U-9U,"Apr 27 - 28, 2019","Old Hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h201811211833574731716b225f44941
,DISTRICT HOOP CHALLENGE,"May 4 - 5, 2019","Alexandria, VA",,Public/Results/Tournament.aspx?IDTournament=h20190219150935419acef1b67c4a04e
,2019 PG Super25 Qualifier-Nashville 8u 9u 10u 11u 12u 13u,"May 4 - 5, 2019","Old hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h20181214232421602837e6ed722144b
,2019  Holy Redeemer Shootout Tournament ,"Mar 1 - 3, 2019","North Bethesda, MD",,Public/Results/Tournament.aspx?IDTournament=h201901251342106840b4ea2accbab46
,Golden Spikes Spring Showdown,"May 4 - 5, 2019","Old Hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h2018112118435085924c67615466747
,"BIG SHOTS WILMINGTON (Wilmington, NC | 17U-9U Boys)","May 4 - 5, 2019","Leland, NC • Wilmington, NC",,Public/Results/Tournament.aspx?IDTournament=h20181023215215973c533a28e3fb845
,Super 25 Nashville,"May 4 - 5, 2019","old hickory, TN",,Public/Results/Tournament.aspx?IDTournament=h20181114164820852a6c010de12ba44
,Elevate Your Game--Girls Tournament,"Apr 13 - 14, 2019","Chantilly, VA • Clifton, VA • McLean, VA • Reston, VA • Vienna, VA",,Public/Results/Tournament.aspx?IDTournament=h20190409155700496010d33ec1c444a
,Reign Spring Invitational,"Apr 20, 2019","Henrico, VA • Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h201904152120159676d7e01893d8b48
,NE EASTER HOP Saturday Only,"Apr 20, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190409150637453b78784df54e54b
,King/Queen of the South,"Mar 23 - 24, 2019","Henrico, VA • Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h201903201541219465394b6d5d4bb41
,Southern Showdown,"Apr 5 - 7, 2019","Henrico, VA • Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h2019040216260284344739db3c23948
,(SAT ONLY) 2x Double Diamond Cup Qualifier Calera,"Apr 27, 2019","Calera, AL",,Public/Results/Tournament.aspx?IDTournament=h201901311842379408c312aeaddbb43
,Rumble in Richmond,"Apr 26 - 28, 2019","Henrico, VA • Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h2019040821311548156e9a315e30546
,Playmaker SUNDAY Slam - Calera,"Feb 23 - 24, 2019","Calera, AL",,Public/Results/Tournament.aspx?IDTournament=h201806241128180315f485bace65342
," BIG SHOTS RICHMOND TEAM LOADED  (Richmond, VA | 17U-10U Boys)","May 4 - 5, 2019","Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h20181023194814581718c0429fd8642
,(Sat Only)  BPA Survivor Belts 8U- 9U-10U-12U Hoover East,"Apr 6, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h201902111747562158f9fc609c3c043
,Teammate Basketball pres. The Opener at Rocky Mount Event Center,"Mar 2 - 3, 2019","Rocky Mount, NC",,Public/Results/Tournament.aspx?IDTournament=h20180914025909866299a5969c65041
,BPA Mothers Day Off  6U-7U-8U-10U-11U-12UHoover East,"May 11, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h201901232035451198a8479a32fc04f
," BIG SHOTS NORTH CAROLINA TIP-OFF (Rocky Mount, NC | 17U-10U Boys)","Mar 30 - 31, 2019","Rocky Mount, NC",,Public/Results/Tournament.aspx?IDTournament=h201810231857122296bcd767bcd744b
,(Sat ONLY ) Call Out &  Roll Out 7U-8U-9U-10U Calera Eagle Park  11U Fultondale ,"Mar 9, 2019","Calera, AL • Fultondale, AL",,Public/Results/Tournament.aspx?IDTournament=h201901211658009196cb78c2ba5eb40
,AAU Carolina Classic Presented by Zero Gravity Basketball,"Apr 13 - 14, 2019","Rocky Mount, NC",,Public/Results/Tournament.aspx?IDTournament=h2019040819143118970e088102ca744
,Posted 9am:  Cancelled Rain  Fultondale,"Mar 2, 2019","Fultondale, AL",,Public/Results/Tournament.aspx?IDTournament=h201901221605201617c44d5cbe52b46
, VA Hokies Premiere BUMP N RUN,"Apr 6, 2019","Bristow, VA • Manassas, VA • Woodbridge, VA",,Public/Results/Tournament.aspx?IDTournament=h20180816161821452fd0bc90f56734f
,(Sat Only) 2x Points 7U-8U Gunslinger Shootout  Fultondale,"May 4, 2019","Fultondale, AL",,Public/Results/Tournament.aspx?IDTournament=h20190118173330121d9b226ad129b47
," BIG SHOTS DC PREMIER (Boyds, MD | 17U-10U Boys)","Apr 13 - 14, 2019","Boyds, MD",,Public/Results/Tournament.aspx?IDTournament=h20181023191556902bb5addb617884d
,Mardi Gras Saturday ONLY - Alabaster/Leeds,"Mar 2, 2019","Alabaster, AL • Helena, AL",,Public/Results/Tournament.aspx?IDTournament=h20180624113514520a6faf4d847fb48
,6th Annual Loudoun Basketball Charity Classic (LBCC),"Mar 15 - 17, 2019","Ashburn, VA • Hamilton, VA • Leeesburg, VA • Leesburg, VA • Sterling, VA",,Public/Results/Tournament.aspx?IDTournament=h20190308144652621e1c7c040ec8240
,Sat ONLY Luck of the Irish 10U -12U Hayden,"Mar 16, 2019","Warrior, AL",,Public/Results/Tournament.aspx?IDTournament=h201903131344095848ac4f97befe649
,YBOA Session 2,"Mar 30 - 31, 2019","Sterling, VA",,Public/Results/Tournament.aspx?IDTournament=h2019032520241949424d28267571e4e
,(Sat Only) 2X Diamond Cup State Qualifier 6U- 7U-8U  Hayden ,"Apr 13, 2019","Warrior, AL",,Public/Results/Tournament.aspx?IDTournament=h20190125211159802a8afef1b76f74c
, YBOA Session 3,"Apr 6 - 7, 2019","Sterling, VA",,Public/Results/Tournament.aspx?IDTournament=h2019040123200861197fb69449bd24a
,North Alabama Madison Playmaker Smash,"Mar 23 - 24, 2019","Madison, AL",,Public/Results/Tournament.aspx?IDTournament=h201901281337104730816558e5c7a46
,Teammate Basketball pres. The Atlantic Coast Qualifier at The Campus,"Mar 30 - 31, 2019","Sterling, VA",,Public/Results/Tournament.aspx?IDTournament=h20181008163530342fe52464dac5c45
,Posted 9:56am.  Cancelled Diamond Cup Qualifier Madison ,"Apr 13, 2019","madison, AL",,Public/Results/Tournament.aspx?IDTournament=h201901311641092642c21f58c59dc4e
,  VA Hokies Premier 3rd Annual Winter League and Bump n Runs,"Jan 5 - Feb 16, 2019","Bristow, VA • Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h201807201644341845c0ea871984d4a
,North Alabama Madison Easter Egg Scramble,"Apr 20, 2019","Madison, AL",,Public/Results/Tournament.aspx?IDTournament=h2019012813420141847a63d9512e841
,VA Hokies Premiere March Madness IV,"Mar 16 - 17, 2019","Bealeton,, VA • Bristow, VA • Gainesville, VA • Manassas, VA • Nokesville, VA",,Public/Results/Tournament.aspx?IDTournament=h2018081615222966974128c8c111447
,(Sat Only)2X  TN River Region Qualifier Madison 7U-8U-11U,"Apr 27, 2019","madison, AL",,Public/Results/Tournament.aspx?IDTournament=h2019012221130307057c0a03f4aee49
,VA Hokies Premiere 4th Annual Autism Awareness,"Apr 13 - 14, 2019","Bealeton,, VA • Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h2018081616201287683621729003549
,North Alabama Madison Playmaker Championship,"May 4 - 5, 2019","Madison, AL",,Public/Results/Tournament.aspx?IDTournament=h20190128135015782fbf43d2a29e646
,VA Hokies Premiere 6th Annual Spring Throw Down ,"Apr 27 - 28, 2019","Bealeton,, VA • Bristow, VA • Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h201808161623020652906bff13c5140
,(Sat Only) Survivor Series Belts 10U-11U-12U Priceville/Madison ,"May 4, 2019","Decatur, AL • madison, AL",,Public/Results/Tournament.aspx?IDTournament=h20190123194715281192c14201c6743
, VA Hokies Premiere BUMP N RUN,"May 4, 2019","Bealeton,, VA • Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h201808161625018379d90f5241ee44c
, Music City Jamboree 10U,"Mar 16 - 17, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201811141922596770b31dcf232d24a
,VA Hokies Premiere BUMP N RUN,"Mar 9, 2019","Bealeton,, VA • Gainesville, VA • Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h20180816002932553253df58ea60f45
,CABA 9U World Series  Free Bid Qualifier,"Apr 6 - 7, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201811160120556334de16092330d43
,VA Hokies Premier 6th Annual Spring Classic,"Mar 30 - 31, 2019","Bealeton,, VA • Gainesville, VA • Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h201808161617147842144fe1a493943
,CABA 10U World Series  Free Bid Qualifier,"Apr 13 - 14, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201811160127324303e69961be07646
,AYBL Regular Season 2018-2019,"Dec 1, 2018 - Mar 17, 2019","Ashburn, VA • Brambleton, VA • Lansdowne, VA • leesburg, VA",,Public/Results/Tournament.aspx?IDTournament=h20181126011110647b24553a35b1f4d
,CABA 11U and 12U Tournament,"Apr 27 - 28, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20181116013202373a617f67ef8d24b
,Cougar Classic powered by RecPros,"Apr 5 - 7, 2019","Frederick, MD",,Public/Results/Tournament.aspx?IDTournament=h20180722193514875dbe95dd8570145
, CABA 9U and 11U Tournament,"May 4 - 5, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2018111601370939187cb00af09de45
,2019 Loudoun Flexx Basketball Spring Kick-off Classic,"Apr 6 - 7, 2019","Ashburn, VA",,Public/Results/Tournament.aspx?IDTournament=h201902051457508210e24614ba84e43
,CABA 12U Tournament,"May 11 - 12, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2018111601414242172633afd829d4f
,Boys AAU Super Showcase -- AAU Sanctioned,"Apr 20 - 17, 2019","Manassas, VA",,Public/Results/Tournament.aspx?IDTournament=h20190102182123926ca0a4498999541
,Buccaneer Classic,"Mar 27 - 30, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h20190318170515574dc65e06cded64b
,VA Hokies Premiere BUMP N RUN,"Feb 2, 2019","Bristow, VA 20136, VA",,Public/Results/Tournament.aspx?IDTournament=h201901081415546285a82b6f7c0144f
,Homewood Turf SAT ONLY March Madness Championship - Homewood/Pelham,"Mar 30, 2019","Homewood, AL",,Public/Results/Tournament.aspx?IDTournament=h2018112712253728816744fe8e6bc48
,VA Hokies Premiere Spring Splashdown IV,"Mar 2 - 3, 2019","Bealeton,, VA • Nokesville, VA",,Public/Results/Tournament.aspx?IDTournament=h20180816002520161ff3e2d7e73d84d
,Hit After Hit 13U Invitational,"May 11 - 12, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190119190340359da9e79e8e0d44f
, VA Hokies Premiere BUMP N RUN,"May 11, 2019","Bealeton,, VA • Nokesville, VA",,Public/Results/Tournament.aspx?IDTournament=h20180816162552469a4595fe3558a40
,2019 Perfect Game St. Patricks Hoover Turf Battle,"Mar 16 - 17, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h201806261232367192a302805535a43
,VA Hokies Premiere BUMP N RUN,"Mar 23, 2019","Bealeton,, VA",,Public/Results/Tournament.aspx?IDTournament=h20180816161411506ef31de9e8cc446
,March Madness Championship - Hoover Turf,"Mar 23 - 24, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h201806241138491117e5eae1529c449
,2019 Pennsylvania Middle School Basketball Championship,"Mar 22 - 24, 2019","Boalsburg, PA • Spring Mills, PA • State College, PA",,Public/Results/Tournament.aspx?IDTournament=h201901182012429197455712209d54d
,2019 Playmaker and Perfect Game March Madness Hoover Turf Battle,"Mar 23 - 24, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h20180626123350189f4db16f2c8394f
,SQBA Spring Jam,"Mar 30 - 31, 2019","Orange, VA",,Public/Results/Tournament.aspx?IDTournament=h2019031909434606603dd3c6b487346
,Posted 7am.  Cancelled. Call Out &  Roll Out Cullman ,"Mar 9 - 10, 2019","Cullman, AL",,Public/Results/Tournament.aspx?IDTournament=h201901211658002767d0374afd05b41
,Carolina Waves Spring  Invitational,"Apr 5 - 6, 2019","Knightdale, NC • Raleigh, NC",,Public/Results/Tournament.aspx?IDTournament=h20190114182157890925128f6c4d944
,( Sat Only) Buffalo Wild Wings  St Patty Day  Cullman ,"Mar 16, 2019","Cullman, AL",,Public/Results/Tournament.aspx?IDTournament=h201901221619455432c064d23dc3545
,Hoops City March Mayhem,"Mar 15 - 16, 2019","Knightdale, NC • Raleigh, NC",,Public/Results/Tournament.aspx?IDTournament=h2019031323500535569f1adfc24234d
, (Sat Only) Buffalo Wild Wings Survivor Belts 7U-9U-10U-12U Cullman ,"Apr 6, 2019","Cullman, AL",,Public/Results/Tournament.aspx?IDTournament=h201901221848022094a48f221adde42
,USBA North Carolina State Tournament Grades 2-6,"Apr 26 - 28, 2019","Knightdale, NC • Raleigh, NC",,Public/Results/Tournament.aspx?IDTournament=h20190318221030999becd6ec1b0c34b
,(Sat Only)  2X Double Diamond Cup Qualifier  Vinemont/Cullman ,"Apr 27, 2019","Cullman, AL • Vinemont, AL",,Public/Results/Tournament.aspx?IDTournament=h201901222127073817e84a2660bd847
," BIG SHOTS MYRTLE BEACH JAM  LIVE (NCAA CERTIFIED | Myrtle Beach, SC | 17U-14U Boys)","Apr 27 - 28, 2019","Myrtle Beach, SC",,Public/Results/Tournament.aspx?IDTournament=h20181023193656718944877dac2d54e
,(Sat Only)  11U Gunslinger Shootout   Vinemont ,"Apr 6, 2019","Vinemont, AL",,Public/Results/Tournament.aspx?IDTournament=h20190122172816619e78cdfca37284d
," BIG SHOTS SLAM DUNK SPRING CHAMPIONSHIPS (Myrtle Beach, SC | 13U-10U Boys)","Apr 27 - 28, 2019","Myrtle Beach, SC",,Public/Results/Tournament.aspx?IDTournament=h201810231941575040657dacbbbfd48
,Posted 6:15am.  Canceled      Diamond Cup State Qualifier Vinemont,"Apr 13, 2019","Vinemont, AL",,Public/Results/Tournament.aspx?IDTournament=h2019012219294968108dc9c36bd294b
,"BIG SHOTS SLAM DUNK CAROLINA INVITATIONAL TOURNAMENT  (Raleigh, NC | 14U-10U Boys)","Feb 23 - 24, 2019","Durham, NC • Raleigh, NC",,Public/Results/Tournament.aspx?IDTournament=h20181009172556607570f81d8649346
,(Sat ONLY) 2X North Alabama Match UP  Vinemont 9U-10U-12U,"May 4, 2019","Vinemont, AL",,Public/Results/Tournament.aspx?IDTournament=h201901231937313879125ffbd169840
,Annual Havoc Madness Basketball Tournament,"May 4 - 5, 2019","Inwood, WV",,Public/Results/Tournament.aspx?IDTournament=h201903031339408886e654c99b56949
, Mothers Day Off  7U-8U-10U-11U-12U  Vinemont/Muscle Shoals ,"May 11, 2019","Muscle Shoals, AL • Vinemont, AL",,Public/Results/Tournament.aspx?IDTournament=h201901252147186973cafb88752bd4a
,Hoop Fest III,"Mar 9 - 10, 2019","Macedon, NY",,Public/Results/Tournament.aspx?IDTournament=h201903032237257344aef01abfb464e
,Ontime  (Sun Only) Call Out &  Roll Out 7U-8U  Priceville ,"Mar 9 - 10, 2019","Decatur, AL",,Public/Results/Tournament.aspx?IDTournament=h20190122160027811c814f5a47c3341
,Winchester Rising Stars Presents: Stars Challenge,"Mar 30 - 31, 2019","Winchester, VA",,Public/Results/Tournament.aspx?IDTournament=h201903051650533890f9db504030749
,GSSA Florida Panhandle 2019 Icebreaker,"Feb 23 - 24, 2019","Gulf Breeze, FL",,Public/Results/Tournament.aspx?IDTournament=h201810231929408443761713bc27744
,Winchester Elite Spring Shootout,"Apr 13, 2019","Stephens City, VA • Winchester, VA",,Public/Results/Tournament.aspx?IDTournament=h20190325112026455c271e401623748
,"USBA Chase 55 Classic (Fayetteville, NC)","Mar 29 - 31, 2019","Fayetteville, NC",,Public/Results/Tournament.aspx?IDTournament=h20190326225439896e24719d6d9f04c
