Keyword,Title,Date,Location,Icon,Link
,Spring Sun Friendly 8v8 Kickball,"Apr 28 - Jun 30, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201901311921069524377e886f9414c
,MSYS Winter Indoor Soccer League,"Jan 5 - Mar 2, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20181109213947190a3e5c69c41134b
,2019 Big House Volleyball Championship,"Apr 20, 2019","Tavares, FL",,Public/Results/Tournament.aspx?IDTournament=h20190417000311773f23ae111d46c4e
,3rd Annual Ian Supra Memorial Water Polo Tournament,"Mar 8 - 9, 2019","Orlando, FL",,Public/Results/Tournament.aspx?IDTournament=h201902121622475867aadb4239ed746
,"Weston, FL ""Weston Blast""","Mar 17, 2019","Weston, FL",,Public/Results/Tournament.aspx?IDTournament=h201812071520590347c276578f8484b
,Dust off the Rust,"Mar 23 - 24, 2019","Chandler, TX",,Public/Results/Tournament.aspx?IDTournament=h2019022314555059789127922a66348
,NGLL Florida Regional Qualifier,"Jan 27 - Apr 7, 2019","Davenport, FL",,Public/Results/Tournament.aspx?IDTournament=h20190119185039280756bb9131e7541
,AAU TN Boys Basketball - Chattanooga,"Apr 13 - 15, 2019","Chattanooga, TN",,Public/Results/Tournament.aspx?IDTournament=h2018031815574591892ea2ad63aaf43
,Newton Coed 6v6 Without Boards,"Dec 17, 2018 - Mar 25, 2019","Newton Centre, MA",,Public/Results/Tournament.aspx?IDTournament=h20181219230441510bb409c09d65c41
,Centennial Volleyball Academy 8th Grade,"Mar 2, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190218145756455cab7153a16d84b
,Viper Sports Club Indoor Tournament,"Feb 17, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h20190209193050652b0718fd72dbd47
,Blatant Town Cup,"Apr 13, 2019","Huntington Station, NY",,Public/Results/Tournament.aspx?IDTournament=h201811131658395511d4b8324d4894f
,2019 Spring Dodgeball,"Apr 1 - Jun 3, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h2019032515354456064153b1d582a4e
,Easter Bash,"Apr 20, 2019","Corsicana, TX",,Public/Results/Tournament.aspx?IDTournament=h20190223150928976a27bb63af0584c
,Spring Mon Indoor Volleyball,"Mar 18 - May 20, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190131194212480e987b6c56c6743
,UPDATED: Viper Sports Club Indoor Tournament,"Feb 10, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h2019020521040871401950d3412d646
,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",,Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944
,Futsal Tournament Series - Lou Ramos Center,"Feb 3, 2019","Allentown, PA",,Public/Results/Tournament.aspx?IDTournament=h201807191226480956970083cd0f442
,LEAD OFF CLASSIC,"Apr 6 - 7, 2019","Omaha, NE",,Public/Results/Tournament.aspx?IDTournament=h20190402115231310809b6cf9b6e14d
,Gold Rush 2019,"Mar 9, 2019","Carson, CA",,Public/Results/Tournament.aspx?IDTournament=h20190206073744487f23a12c5818441
,Christian  Academy of Louisville Indoor Field  Hockey Classic 2019 ,"Mar 9, 2019","Louisville, KY",,Public/Results/Tournament.aspx?IDTournament=h201811201855106557637226408794f
,Ice Breaker Lacrosse Tournament 2019,"Mar 30 - Apr 7, 2019","Brookfield, CT",,Public/Results/Tournament.aspx?IDTournament=h201810171834536175a5cfff4a2434e
,SFP Spring Kickoff,"Apr 13 - 14, 2019","Sandusky, OH",,Public/Results/Tournament.aspx?IDTournament=h201902051545253244e64fc333a0942
,Fastpitch U Combine Competition & Tournament,"Feb 2 - 3, 2019","Jacksonville, FL",,Public/Results/Tournament.aspx?IDTournament=h201901020307378477a702b27c35346
,Spring Wed Sand Volleyball,"Mar 20 - May 22, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201901311945580372c1fa048bfe147
,Viper Sports Club Indoor Tournament,"Feb 23, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h2019021614215993829b441bbd8e841
,King of the Hill,"May 4, 2019","Dix Hills, NY",,Public/Results/Tournament.aspx?IDTournament=h201904230006555870f8c6908e4874a
,Montana Regional Science Bowl,"Mar 9, 2019","Billings, MT",,Public/Results/Tournament.aspx?IDTournament=h20190207212019367ef9df4a3cb7743
,Futsal League Session 1 Winter (COED),"Jan 4 - Mar 15, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20180822163530626436ca04ec3e44a
,Easter Saturday - South Bay,"Apr 20, 2019","Fremont, CA",,Public/Results/Tournament.aspx?IDTournament=h20190301214623262f0de3afdde3f44
,2019 Iowa AAU 6th Grade State Tournament,"Mar 23, 2019","INDIANOLA, IA",,Public/Results/Tournament.aspx?IDTournament=h20190307211239596c6440f326e2b46
,2019 DFWL Spring Bantam Play Day,"Mar 23 - 24, 2019","Frisco, TX",,Public/Results/Tournament.aspx?IDTournament=h20190306163125653b2e52f9ed74542
,High School Rugby Border Battle,"Apr 13 - 14, 2019","Wisconsin Dells, WI",,Public/Results/Tournament.aspx?IDTournament=h201812062033378320c524a18105240
, Futsal League Session 2 Spring (COED),"Apr 5 - May 24, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20180822164958833c0e3426ecfc64c
,Spring Championship in the Smokies,"Apr 27 - 28, 2019","Pigeon Forge, TN",,Public/Results/Tournament.aspx?IDTournament=h201904251858105021af13efd875544
,2019 Spring Coed Volleyball,"Apr 2 - May 28, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201903261710517176ff6faf93ede46
,2019 Aggieland Classic,"Feb 9 - 10, 2019","College Station, TX",,Public/Results/Tournament.aspx?IDTournament=h20190122204617858978977c011df45
,Spring Mon Friendly Kickball,"Mar 18 - May 27, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190131192517580d76a981cf25240
,2019 Winter Finale Futsal Tournament,"Mar 3, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190227172702190e14989574fbb47
,TEAM 1 Competitive Shootout 14U-18U,"Apr 13 - 14, 2019","Olathe, KS",,Public/Results/Tournament.aspx?IDTournament=h20190409004526676b9e85980bae440
,2019 Spring Lanco Adult Field Hockey,"Apr 11 - Jun 6, 2019","East Petersburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190404141423147bf3bc391b6294f
,Trilogy Winter League (2018-19),"Dec 1, 2018 - Feb 10, 2019","Clifton, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181119185139094481cb637b0e44d
,Centennial Volleyball Academy 7th Grade AAU,"Feb 16, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h2019021019310451409e1eb3e76884d
,South Jersey Spirit Games,"Apr 7, 2019","Medford, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190213130815584c7a50289b7bb4d
,Spring Tues Friendly Kickball,"Mar 19 - May 21, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2019013119273524069c2a14938f14d
,Softball - Pepsi B May 10-12 (4GG),"May 10 - 12, 2019","Del City, OK",,Public/Results/Tournament.aspx?IDTournament=h2019011000562614893e410127c0d40
,Cape Ice Classic 2019,"Feb 15 - 17, 2019","Hyannis, MA",,Public/Results/Tournament.aspx?IDTournament=h20181029040032081954b16abe7a549
,Garden State Box Battle 2019,"Jan 5 - Feb 2, 2019","Edison, NJ",,Public/Results/Tournament.aspx?IDTournament=h2018092700193671941e013f2055c4b
,AAU TN Boys Basketball - Nashville,"May 4 - 6, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20180318151242207476894b5ce064a
,Softball - Queen of Diamond March 22-24 (5GG),"Mar 22 - 24, 2019","Del City, OK",,Public/Results/Tournament.aspx?IDTournament=h201901060550446418c2ff9731c1049
,Spring 2019 Home School Volleyball Tournament,"May 10, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20181024164820324b59f86003ede45
,2019 Rochester Area Indoor Field Hockey League,"Jan 20 - Mar 10, 2019","West Henrietta, NY",,Public/Results/Tournament.aspx?IDTournament=h2018111518404060855f2a5b476df46
,2019 Crush Challenge,"Feb 9 - 10, 2019","Costa Mesa, CA",,Public/Results/Tournament.aspx?IDTournament=h20190130211453251127f6f75e0a142
,USA Boxing,"Mar 2 - 6, 2019","Reno, NV",,Public/Results/Tournament.aspx?IDTournament=h201903011608088997b599d95eefe44
,UF PGF day at the Park one day #2--Gator Ball #2,"Mar 9, 2019","newberry, FL",,Public/Results/Tournament.aspx?IDTournament=h20181031211554664d0108f5ff92d40
,Winter Freeze 2019,"Feb 9, 2019","West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h2019012316540149958ed3d9da35f40
,2019 DFWL City Championship,"Apr 26 - 28, 2019","Frisco, TX",,Public/Results/Tournament.aspx?IDTournament=h2019041521302151385d2d6c4d9ad4a
,High Demand Academy Basketball Camp,"Feb 18 - 22, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190123134547285dffd047fdb524f
,2019 Spring Lanco Coed Soccer,"Apr 15 - Jun 17, 2019","East Petersburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190408140044001ec986dff4e524b
,9th Grade CVA,"Mar 9, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190301192649754c7ea065af3e345
,U10 & U12 Co-Ed National Indoor Tournament 2019,"Feb 22 - 24, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190107204849890889511f1d15a43
,I-95 7v7 Shootout Tournament,"Mar 30, 2019","Woodbine, MD",,Public/Results/Tournament.aspx?IDTournament=h201903290006157946e574af8824440
,Victory Winter Championship 2019,"Feb 16, 2019","Feasterville-Trevose, PA",,Public/Results/Tournament.aspx?IDTournament=h2019011820305215474b030b225ac48
,2019 Ohio International Spring Cup,"Apr 18 - 21, 2019","Columbus, OH",,Public/Results/Tournament.aspx?IDTournament=h201902201559400212d59076c91a048
,Starz Gold March Matchups,"Mar 23 - 24, 2019","Henrico, VA",,Public/Results/Tournament.aspx?IDTournament=h20171031123609816e9bfc67bbe3f42
,Centennial Volleyball Academy 4th Grade AAU,"Feb 9, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h201902031654056760bc1eb605dbd4d
,Music City Showdown,"Mar 23, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190319222230002dc0538145fa14e
,2019 Shamrock Shootout,"Mar 16, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h201902201435234829cfbfa7271ab45
,"Ft. Walton Beach, FL","Mar 23, 2019","Ft. Walton Beach, FL",,Public/Results/Tournament.aspx?IDTournament=h20190111232158849b35da27cb80947
,Softball - Round Robin - March 29-31 (5GG),"Mar 29 - 31, 2019","Del City, OK",,Public/Results/Tournament.aspx?IDTournament=h20190111014535637051bd8dee8e34b
,Viper Sports Club Indoor Tournament,"Feb 2, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h20190126214455064c420ec32718b42
,Endzone7on7 Battle of Texas (Houston),"Mar 9 - 10, 2019","The Woodlands, TX",,Public/Results/Tournament.aspx?IDTournament=h2019012217321189621387613ff4d46
,Lax Revolution Indoor Tournament,"Feb 16 - 17, 2019","Naperville, IL",,Public/Results/Tournament.aspx?IDTournament=h20190208144241223af2dd4a5438640
,Saint Andrews Invite 2019,"Feb 22 - 23, 2019","Boca Raton,, FL",,Public/Results/Tournament.aspx?IDTournament=h201811141928026796751b3c2b00f40
,2019 D9 Citrus Blossom,"Feb 15 - 17, 2019","Kissimmee, Fl",,Public/Results/Tournament.aspx?IDTournament=h20190118224141265bfeda08f78764e
,Spring Sun Sand Volleyball,"Apr 7 - Jun 9, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190131200229273f8e6709218914b
,Spring Turf League 2019,"Mar 12 - May 7, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20190305160257896525bca19aecd40
,MCFFU World Championships XIII,"Apr 27 - 28, 2019","Minneapolis, AR",,Public/Results/Tournament.aspx?IDTournament=h20190304164451861f07c3427211d43
,Honor the Game,"May 4, 2019","Midland, MI",,Public/Results/Tournament.aspx?IDTournament=h2019011117534425095be315352004f
, ER Camp Jordan Indoor Soccer 2018-2019,"Nov 29, 2018 - Feb 23, 2019","East Ridge, Tn",,Public/Results/Tournament.aspx?IDTournament=h20181011214414233592e5c83209648
,AFFL Qualifier powered by Mid State Sports,"Mar 2 - 3, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201902191341420663206cc63fe3b4f
,Turf City Winter Indoor League 2018/19,"Dec 1, 2018 - Feb 10, 2019","Wayne, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181126163738605a34f1327999541
,2019 Spring Battleball Tournament,"Feb 24, 2019","Mechanicsburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190219173901573539d82d0ec2f46
,"Santa Maria, CA","Apr 13, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190213192839304702191656a814c
,Kai-Zen Field Hockey Spring Fling 2019,"Apr 28, 2019","Syracuse, NY",,Public/Results/Tournament.aspx?IDTournament=h20190426123421022a9b68af0018d4c
,2019 Disney Field Hockey Showcase,"Feb 1 - 3, 2019","Orlando, FL",,Public/Results/Tournament.aspx?IDTournament=h20190104224251956d06b3b20f6ba4b
," Winter Bowl Shoot-Out 2019""  ages 5u-18u","Feb 9 - 10, 2019","Metairie, LA",,Public/Results/Tournament.aspx?IDTournament=h20190110190821417303af44c670749
,NXT Mid-Atlantic Spring League Play Day (Girls),"Apr 7, 2019","Villanova, PA",,Public/Results/Tournament.aspx?IDTournament=h2019030117254199604a2d76c757649
,2019 Youth Futsal League,"Jan 11 - Mar 8, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201901071716002713dffa27f43e347
,Red Brand Credit Union ShootOut,"Mar 22 - 24, 2019","Pekin, IL",,Public/Results/Tournament.aspx?IDTournament=h20190319215959482463298e6e36044
,St Anthony of Padua - Parma,"May 1 - 31, 2019","Parma, OH",,Public/Results/Tournament.aspx?IDTournament=h201903220231011047ac65112e36a4a
,2019 Mid-Winter Classic,"Feb 15 - 18, 2019","Jamestown, NY",,Public/Results/Tournament.aspx?IDTournament=h20180413184333278931c61799d4748
,"PREMIER EVENTS TEXAS, NOCONA 7on7 PRIMETIME SPORTS TOC QUALIFIER (3 Games Guaranteed)","Mar 23, 2019","Nocona, TX",,Public/Results/Tournament.aspx?IDTournament=h20190113185016022b32aa3fb10754b
,South Windsor Robin Klemba Bobcat Blast,"Apr 27, 2019","South Windsor, CT",,Public/Results/Tournament.aspx?IDTournament=h20190422175940624b0f6d099b6d44d
,Chandler Prep Tennis Invite 2019,"Mar 29 - 30, 2019","Tempe, AZ",,Public/Results/Tournament.aspx?IDTournament=h201903270451432688ba90ad3c39b43
,2019 Winter Beach League - THUR Coed 4s,"Jan 10 - Mar 14, 2019","Virginia Beach, VA",,Public/Results/Tournament.aspx?IDTournament=h201901091843334125e2b413eb57344
,4Goals Challenge Tournament,"Feb 10, 2019","Chula Vista, CA",,Public/Results/Tournament.aspx?IDTournament=h2019012322565797779b2f0cb1ccc4d
,NFA7v7 Southeast Regional,"Mar 23 - 24, 2019","Bradenton, FL",,Public/Results/Tournament.aspx?IDTournament=h201901071746590443818981db24a45
,True Lacrosse March Madness,"Mar 24, 2019","McCook, IL",,Public/Results/Tournament.aspx?IDTournament=h201903202019529960bac705d9dca42
,2019 Winter Dodgeball League,"Jan 14 - Mar 11, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h201901081510577400af8ff54d48c43
,Futsal Tournament Series - Spooky Nook,"Feb 2, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h20181112185212222f5b0f8ffbeda45
,Centennial Volleyball Academy 5th Grade AAU,"Feb 2, 2019","Ankeny, IA",,Public/Results/Tournament.aspx?IDTournament=h20190127050842272999afa0937ec47
,HTC Winter Hardcourt Tournament II,"Feb 2, 2019","Tolland, CT",,Public/Results/Tournament.aspx?IDTournament=h201901241940077052e09ec1962714b
,Winter Indoor Field Hockey Tournament,"Feb 23, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122427550593cb3172bdf4a
,Spring Thurs Co-Ed Flag Football,"Apr 11 - Jun 6, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190204190048273d3f3714264af4f
,Philadelphia Indoor Lacrosse Championships 2019,"Feb 16 - 18, 2019","Hatfield, PA",,Public/Results/Tournament.aspx?IDTournament=h201811261602438844a6b424925fe44
,Team Breakdown,"Aug 1, 2018 - Jun 1, 2019","Boca Raton, FL",,Public/Results/Tournament.aspx?IDTournament=h20170918160213773e51831dfdcbc4a
,Richmond National Indoor Tournament 2019,"Feb 22 - 24, 2019","Richmond, VA",,Public/Results/Tournament.aspx?IDTournament=h20190206212039036040634a920bc4e
,Winter League Playoffs 2019,"Feb 22 - Mar 1, 2019","Irvine, CA",,Public/Results/Tournament.aspx?IDTournament=h20190211035011462156b1af1acdf46
,Spring Wed Open Kickball,"Mar 20 - May 22, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h2019013119342887557557bf0e7b545
,Adult League Session 2 Winter (COED),"Jan 9 - Mar 20, 2019",,,Public/Results/Tournament.aspx?IDTournament=h2018082216182115516bf33cb250743
,Spring Fling 2019,"Apr 13 - 14, 2019","Chester, NY",,Public/Results/Tournament.aspx?IDTournament=h201904091639262797f9d5ad7a51b4b
,Winter Spike,"Feb 24, 2019","Renton, WA",,Public/Results/Tournament.aspx?IDTournament=h20190221035609791d3135cc07b7f4f
,Resolute Shootout 2019,"May 4, 2019","Columbus,, OH",,Public/Results/Tournament.aspx?IDTournament=h20190412112032595dddcc9572e6e4f
,9FRUITS GIFT CARDS,"Jan 1 - Dec 31, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190105125003209e1fac7f94e834e
,Adult League Session 3 Spring (COED),"Apr 3 - May 29, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201808221647023510342cd5e964840
,"NJ Heat Friendly (10U, 12U & 14U) to benefit Howell HS Rebels Softball","Mar 30, 2019","Howell, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190206210351149c41d39d23b604d
,Viper Sports Club Indoor Tournament,"Feb 16, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h201902091900463995aa7106ab2e44f
,AFFL Warm up Tourney,"Apr 20, 2019","Hollywood, FL",,Public/Results/Tournament.aspx?IDTournament=h20190419000148269baa0b078507b47
,2019 Sacramento Regional Science Bowl,"Feb 23, 2019","Rancho Cordova, CA",,Public/Results/Tournament.aspx?IDTournament=h20190110213455937fed94ad8ebe540
,Manchester Pride Early Bird,"Apr 26 - 28, 2019","New Franklin, OH",,Public/Results/Tournament.aspx?IDTournament=h201904101351176806d44856673bc45
,(CANCELLED) Feb 18th Winter Indoor Field Hockey Tournament,"Feb 18, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122356081fe08a0654fc342
,Spring Sun Flag Football ,"Apr 7 - Jun 9, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201902041840433637428f3ce6ced46
,2019 NGLL Spring Kickoff,"Mar 9 - 10, 2019","Kissimmee, FL",,Public/Results/Tournament.aspx?IDTournament=h201902041507566900605798844e242
,AAU TN Boys Basketball - Knoxville,"May 4 - 6, 2019","Sevierville, TN",,Public/Results/Tournament.aspx?IDTournament=h2018031816021970795b48b6e0a4c4d
,Friday Night Spring League,"Apr 12 - May 31, 2019","Cincinnati, OH",,Public/Results/Tournament.aspx?IDTournament=h20181215001830883fec3a35bbc6e43
,Spring Flick 7v7 Tournament,"Apr 27, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h2018122115412538935dac1aa11f04f
,3X NE - CT Sportsplex 2019,"Feb 18, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h201902152227117316aa49b3d50c746
,Softball - March Free-Bee - March 15-17 (4GG),"Mar 15 - 17, 2019","Harrah, OK",,Public/Results/Tournament.aspx?IDTournament=h2019011120210419470c65f92753548
,U14 Girls National Indoor Tournament 2019,"Feb 15 - 18, 2019","Manheim, PA",,Public/Results/Tournament.aspx?IDTournament=h2018090420353450351822398977143
,USTC Winter Indoor Field Hockey Tournament,"Feb 2, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20180710122301146cf35d4a2ad0242
,Top Gun Chicago 7v7,"Mar 30 - 31, 2019","Lake Barrington, IL",,Public/Results/Tournament.aspx?IDTournament=h20190124194007567ff975a647e0542
,Goodland Invitational,"Feb 23 - 24, 2019","Brookfield, WI",,Public/Results/Tournament.aspx?IDTournament=h20190123233155816a53b1d2e1b2645
,ADC Spring COED,"Mar 25 - Jun 3, 2019","Spanish Fork, UT",,Public/Results/Tournament.aspx?IDTournament=h201903222209422984a3b09c7b06d4f
,Easter Egg Bash,"Apr 20, 2019","Florence, AL",,Public/Results/Tournament.aspx?IDTournament=h201904161336466954ae9f935a84540
,Kai-Zen Field Hockey Winter Play Day 2019,"Feb 24, 2019","Syracuse, NY",,Public/Results/Tournament.aspx?IDTournament=h20190212191509771e053129040924f
,NFA7v7 East Regional,"Feb 23 - 24, 2019","Myrtle Beach, SC",,Public/Results/Tournament.aspx?IDTournament=h20190116162255087fc0d492d79ae4a
, END OF THE YEAR YOUTH TOURNEY 2019,"May 4 - 5, 2019","FRISCO, TX",,Public/Results/Tournament.aspx?IDTournament=h20190410130810502c4ef2c0ce32542
,Spring Sun Co-Ed Soccer,"Apr 7 - Jun 9, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h201901312153111133f701fce459d49
,CT Sportsplex Tuesday Night Softball League,"Apr 2 - May 28, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190329180459411c568c6a5a90040
,AFFL Tune-Up @ RockyTop,"Apr 20 - May 14, 2019","Gatlinburg, TN",,Public/Results/Tournament.aspx?IDTournament=h2019041118584356627f79553503842
,Santa Barbara Winter Showdown 2019,"Feb 9 - 10, 2019","Carpinteria, CA",,Public/Results/Tournament.aspx?IDTournament=h201804202159019231eb952f73b1c4a
,2018-19 Lanco Youth Indoor Soccer League,"Dec 7, 2018 - Mar 31, 2019","East Petersburg, PA",,Public/Results/Tournament.aspx?IDTournament=h2018120120034407423f6feb3aec340
,Viper Sports Club Indoor Tournament,"Feb 24, 2019","Limerick, PA",,Public/Results/Tournament.aspx?IDTournament=h2019021615064442094791f48c92348
,Sam Madison 7v7 South FL Classic,"Mar 30 - 31, 2019","Miami Gardens, FL",,Public/Results/Tournament.aspx?IDTournament=h20190214171315160f8a518596f4e47
,Raleigh BoxFest 2019,"Feb 3, 2019","Apex, NC",,Public/Results/Tournament.aspx?IDTournament=h201810102023019721f280f99165649
