Keyword,Title,Link,Location,Date,Icon
,2019 AAU Big House Volleyball Super Regional,Public/Results/Tournament.aspx?IDTournament=h201902261203313889b941322d59a45,"Tavares, FL","Mar 2 - 3, 2019",
,Impact Developmental League 2019,Public/Results/Tournament.aspx?IDTournament=h201901292043468556704bbdd4b064e,"Guntersville, AL","Feb 2 - 23, 2019",
,2018 Winter Coed Volleyball,Public/Results/Tournament.aspx?IDTournament=h201811131803388099c188831819d4a,"Manheim, PA","Nov 20, 2018 - Mar 12, 2019",
,AAU SPORTSFEST:  GIRLS VOLLEYBALL,Public/Results/Tournament.aspx?IDTournament=h20190111123936897a61ecd9b832740,"FRANKLIN, TN","Feb 23 - 24, 2019",
,Queen Vicki 2019,Public/Results/Tournament.aspx?IDTournament=h20190227030344579d1b19e4816b742,"Richmond, BC","Mar 23 - 24, 2019",
,Spring Mon Sand Volleyball,Public/Results/Tournament.aspx?IDTournament=h2019031402481036858c78770cb524e,"Nashville, TN","Mar 18 - May 20, 2019",
,Centennial Volleyball Academy 6th Grade AAU,Public/Results/Tournament.aspx?IDTournament=h2019012700411103746b5722d57de48,"Ankeny, IA","Feb 2, 2019",
,TLS | Indoor Coed 6's Volleyball Tournament,Public/Results/Tournament.aspx?IDTournament=h20190116000438841cb0e9e790e814a,"Santa Clara, CA","Feb 10, 2019",
,SPRING INDOOR BEACH - THURSDAY Coed 4s,Public/Results/Tournament.aspx?IDTournament=h20190326203252729da32f2674c784a,"Virginia Beach, VA","Mar 28 - May 23, 2019",
,TLS | Indoor Reverse Coed 6's Volleyball Tournament,Public/Results/Tournament.aspx?IDTournament=h2019031220505275885915b5d92c144,"Santa Clara, CA","Apr 13 - 14, 2019",
,2019 Spring Spirit Volleyball,Public/Results/Tournament.aspx?IDTournament=h201903191600407234d81b477016c4d,"Lincoln, NE","Apr 7 - May 19, 2019",
,AAU SPORTSFEST:  GIRLS BASKETBALL,Public/Results/Tournament.aspx?IDTournament=h20190111125800373daa0c3cfb5f945,"FRANKLIN, TN","Feb 23 - 24, 2019",
,AAU SPORTSFEST:  BOYS BASKETBALL,Public/Results/Tournament.aspx?IDTournament=h201901111303330420b88b81fbf944b,"FRANKLIN, TN","Feb 23 - 24, 2019",
,2019 Big House Volleyball Championship,Public/Results/Tournament.aspx?IDTournament=h20190417000311773f23ae111d46c4e,"Tavares, FL","Apr 20, 2019",
,Youth Volleyball - 2019 Spring,Public/Results/Tournament.aspx?IDTournament=h20181207222509088e2c585c6e5614f,"LaFayette, GA • Ringgold, GA","Mar 18 - May 14, 2019",
,Centennial Volleyball Academy 8th Grade,Public/Results/Tournament.aspx?IDTournament=h20190218145756455cab7153a16d84b,"Ankeny, IA","Mar 2, 2019",
,Spring Mon Indoor Volleyball,Public/Results/Tournament.aspx?IDTournament=h20190131194212480e987b6c56c6743,"Nashville, TN","Mar 18 - May 20, 2019",
,Gold Rush 2019,Public/Results/Tournament.aspx?IDTournament=h20190206073744487f23a12c5818441,"Carson, CA","Mar 9, 2019",
,Spring Wed Sand Volleyball,Public/Results/Tournament.aspx?IDTournament=h201901311945580372c1fa048bfe147,"Nashville, TN","Mar 20 - May 22, 2019",
,2019 Iowa AAU 6th Grade State Tournament,Public/Results/Tournament.aspx?IDTournament=h20190307211239596c6440f326e2b46,"INDIANOLA, IA","Mar 23, 2019",
,2019 Spring Coed Volleyball,Public/Results/Tournament.aspx?IDTournament=h201903261710517176ff6faf93ede46,"Manheim, PA","Apr 2 - May 28, 2019",
,LAVO Spring 2019 League,Public/Results/Tournament.aspx?IDTournament=h2019021220493827757b4ac0f0f4b44,"Los Angeles, CA • West Hollywood, CA","Mar 1 - Jun 10, 2019",
,Centennial Volleyball Academy 7th Grade AAU,Public/Results/Tournament.aspx?IDTournament=h2019021019310451409e1eb3e76884d,"Ankeny, IA","Feb 16, 2019",
,SPRING INDOOR BEACH - WED - MENS & WOMENS 2's,Public/Results/Tournament.aspx?IDTournament=h201903221353324712a972a4c57574d,"Virginia Beach, VA","Mar 27 - May 22, 2019",
,Spring 2019 Home School Volleyball Tournament,Public/Results/Tournament.aspx?IDTournament=h20181024164820324b59f86003ede45,"Downingtown, PA","May 10, 2019",
,2019 Winter Beach League - WED Men & Women 2's,Public/Results/Tournament.aspx?IDTournament=h2019010817221490111513cf2379347,"Virginia Beach, VA","Jan 9 - Mar 13, 2019",
,9th Grade CVA,Public/Results/Tournament.aspx?IDTournament=h20190301192649754c7ea065af3e345,"Ankeny, IA","Mar 9, 2019",
,Centennial Volleyball Academy 4th Grade AAU,Public/Results/Tournament.aspx?IDTournament=h201902031654056760bc1eb605dbd4d,"Ankeny, IA","Feb 9, 2019",
,2019 Winter League - TUESDAY COED 2's,Public/Results/Tournament.aspx?IDTournament=h20190104191000044184b3c5a1fe744,"Virginia Beach, VA","Jan 8 - Mar 12, 2019",
,Spring Sun Sand Volleyball,Public/Results/Tournament.aspx?IDTournament=h20190131200229273f8e6709218914b,"Nashville, TN","Apr 7 - Jun 9, 2019",
,TLS | Women's Indoor 6's Volleyball Tournament,Public/Results/Tournament.aspx?IDTournament=h20190122195837660bfaf84d5fa2942,"San Jose, CA","Mar 23, 2019",
,2019 Winter Beach League - Monday Coed 4's,Public/Results/Tournament.aspx?IDTournament=h2019010219323616451c21c19764045,"Virginia Beach, VA","Jan 7 - Mar 11, 2019",
,St Anthony of Padua - Parma,Public/Results/Tournament.aspx?IDTournament=h201903220231011047ac65112e36a4a,"Parma, OH","May 1 - 31, 2019",
,2019 Winter Beach League - THUR Coed 4s,Public/Results/Tournament.aspx?IDTournament=h201901091843334125e2b413eb57344,"Virginia Beach, VA","Jan 10 - Mar 14, 2019",
,Centennial Volleyball Academy 5th Grade AAU,Public/Results/Tournament.aspx?IDTournament=h20190127050842272999afa0937ec47,"Ankeny, IA","Feb 2, 2019",
,2019 Spring Indoor Beach League - TUESDAY Coed 2's,Public/Results/Tournament.aspx?IDTournament=h201903211837456709d7bc26ce1f74d,"Virginia Beach, VA","Mar 26 - May 21, 2019",
,Winter Spike,Public/Results/Tournament.aspx?IDTournament=h20190221035609791d3135cc07b7f4f,"Renton, WA","Feb 24, 2019",
,TLS | Indoor Reverse Coed 6's Volleyball Tournament,Public/Results/Tournament.aspx?IDTournament=h20190122192246629f165c40fac8840,"Santa Clara, CA","Mar 10, 2019",
,2018 Winter Women's Volleyball,Public/Results/Tournament.aspx?IDTournament=h2018111416042276363716327317b44,"Manheim, PA","Nov 28, 2018 - Mar 13, 2019",
,Rings In The Spring - ,Public/Results/Tournament.aspx?IDTournament=h201812060420594975a5db82d90fb4d,"Dublin, GA","Apr 13, 2019",
,President's Day Round Robin,Public/Results/Tournament.aspx?IDTournament=h201812061626451234db50c069bfe48,"West Chester, PA","Feb 18, 2019",
,Dirtdogs Spring Classic ,Public/Results/Tournament.aspx?IDTournament=h20181030202645137f52d1c3d78f64e,"Hanford, CA","May 4 - 5, 2019",
,FAST PITCH SLUGFEST,Public/Results/Tournament.aspx?IDTournament=h20180827220048774e1013b15147c41,"Rockford, IL","Apr 27 - 28, 2019",
,Winter Finale Round Robin ,Public/Results/Tournament.aspx?IDTournament=h201902061621107964d813d15ee4b46,"West Chester, PA","Mar 30, 2019",
,Cricket Wireless Classic,Public/Results/Tournament.aspx?IDTournament=h2019021218043886784d42ef6e9e349,"Pekin, IL","Feb 15 - 17, 2019",
,Mardi Gras - Concord,Public/Results/Tournament.aspx?IDTournament=h20190301190912355e7a6f51c833e46,"Concord, CA","Mar 9 - 10, 2019",
,St. Patty's Showdown Select Tournament,Public/Results/Tournament.aspx?IDTournament=h20181219193905670ef7280d61ae146,"Norco, CA","Mar 11, 2019",
,Softball  - St. Paddy's Day  March 15-17 (4GG),Public/Results/Tournament.aspx?IDTournament=h20190110013623922f3b86556b9134a,"Del City, OK","Mar 15 - 17, 2019",
,Dust off the Rust,Public/Results/Tournament.aspx?IDTournament=h2019022314555059789127922a66348,"Chandler, TX","Mar 23 - 24, 2019",
,Softball - DJ Shorty - April 26-28 (4GG),Public/Results/Tournament.aspx?IDTournament=h201901110313093952be344e039e04a,"Del City, OK • Harrah, OK","Apr 26 - 28, 2019",
,Easter Bash,Public/Results/Tournament.aspx?IDTournament=h20190223150928976a27bb63af0584c,"Corsicana, TX","Apr 20, 2019",
,LEAD OFF CLASSIC,Public/Results/Tournament.aspx?IDTournament=h20190402115231310809b6cf9b6e14d,"Omaha, NE","Apr 6 - 7, 2019",
,Fastpitch U Combine Competition & Tournament,Public/Results/Tournament.aspx?IDTournament=h201901020307378477a702b27c35346,"Jacksonville, FL","Feb 2 - 3, 2019",
,Easter Saturday - South Bay,Public/Results/Tournament.aspx?IDTournament=h20190301214623262f0de3afdde3f44,"Fremont, CA","Apr 20, 2019",
,Spring Championship in the Smokies,Public/Results/Tournament.aspx?IDTournament=h201904251858105021af13efd875544,"Pigeon Forge, TN","Apr 27 - 28, 2019",
,TEAM 1 Competitive Shootout 14U-18U,Public/Results/Tournament.aspx?IDTournament=h20190409004526676b9e85980bae440,"Olathe, KS","Apr 13 - 14, 2019",
,"1st to 3rd Softball Events Nor Cal's Finest ""6th Annual Best of the West"" Powered by Heybucket, Pocket Radar, Fastpitch Media, Bownet, Blast & PGF",Public/Results/Tournament.aspx?IDTournament=h20181201173229909336b13b9948f4a,"Modesto, Ca • Stockton, Ca • Tracy, Ca","Apr 12 - 14, 2019",
,Softball - Pepsi B May 10-12 (4GG),Public/Results/Tournament.aspx?IDTournament=h2019011000562614893e410127c0d40,"Del City, OK","May 10 - 12, 2019",
,Softball - Queen of Diamond March 22-24 (5GG),Public/Results/Tournament.aspx?IDTournament=h201901060550446418c2ff9731c1049,"Del City, OK","Mar 22 - 24, 2019",
,UF PGF day at the Park one day #2--Gator Ball #2,Public/Results/Tournament.aspx?IDTournament=h20181031211554664d0108f5ff92d40,"newberry, FL","Mar 9, 2019",
,Queen of the Hill - Sacramento,Public/Results/Tournament.aspx?IDTournament=h20190301213747363c3510e13c0aa4f,"Antelope, CA • Fair Oaks, CA • North Highlands, CA • Sacramento, CA","Apr 13 - 14, 2019",
,Starz Gold March Matchups,Public/Results/Tournament.aspx?IDTournament=h20171031123609816e9bfc67bbe3f42,"Henrico, VA","Mar 23 - 24, 2019",
,Softball - Round Robin - March 29-31 (5GG),Public/Results/Tournament.aspx?IDTournament=h20190111014535637051bd8dee8e34b,"Del City, OK","Mar 29 - 31, 2019",
,2019 D9 Citrus Blossom,Public/Results/Tournament.aspx?IDTournament=h20190118224141265bfeda08f78764e,"Kissimmee, Fl","Feb 15 - 17, 2019",
,Queen of the Hill - Antioch/Martinez,Public/Results/Tournament.aspx?IDTournament=h201904031618590057ae91ac2b93743,"Antioch, CA • Martinez, CA","Apr 13 - 14, 2019",
,The 22nd Annual Cherry Blossom Tournament,Public/Results/Tournament.aspx?IDTournament=h201903270214002972d863d5c5ffd4e,"Annandale, VA • Falls Church, VA • Vienna, VA","Apr 27 - 28, 2019",
,Red Brand Credit Union ShootOut,Public/Results/Tournament.aspx?IDTournament=h20190319215959482463298e6e36044,"Pekin, IL","Mar 22 - 24, 2019",
,Diamond Battle,Public/Results/Tournament.aspx?IDTournament=h201810261713152187c60c21fcaf04c,"Acworth, GA • Canton, GA • Woodstock, GA","Mar 2 - 3, 2019",
,Chandler Prep Softball Classic,Public/Results/Tournament.aspx?IDTournament=h20190320055117310ea19f367dc034f,"Mesa, AZ • Phoenix, AZ","Mar 22 - 23, 2019",
,Big League Dreams,Public/Results/Tournament.aspx?IDTournament=h201903281445483036592eabb248745,"Chino Hills, CA • West Covina, CA","Apr 6 - 7, 2019",
,Spring Fling 2019,Public/Results/Tournament.aspx?IDTournament=h201904091639262797f9d5ad7a51b4b,"Chester, NY","Apr 13 - 14, 2019",
,"NJ Heat Friendly (10U, 12U & 14U) to benefit Howell HS Rebels Softball",Public/Results/Tournament.aspx?IDTournament=h20190206210351149c41d39d23b604d,"Howell, NJ","Mar 30, 2019",
,Manchester Pride Early Bird,Public/Results/Tournament.aspx?IDTournament=h201904101351176806d44856673bc45,"New Franklin, OH","Apr 26 - 28, 2019",
,Friday Night Spring League,Public/Results/Tournament.aspx?IDTournament=h20181215001830883fec3a35bbc6e43,"Cincinnati, OH","Apr 12 - May 31, 2019",
,Softball - March Free-Bee - March 15-17 (4GG),Public/Results/Tournament.aspx?IDTournament=h2019011120210419470c65f92753548,"Harrah, OK","Mar 15 - 17, 2019",
,Easter Egg Bash,Public/Results/Tournament.aspx?IDTournament=h201904161336466954ae9f935a84540,"Florence, AL","Apr 20, 2019",
,CT Sportsplex Tuesday Night Softball League,Public/Results/Tournament.aspx?IDTournament=h20190329180459411c568c6a5a90040,"North Branford, CT","Apr 2 - May 28, 2019",
,PGF Tarheel Classic Series Easter Classic,Public/Results/Tournament.aspx?IDTournament=h201812291605424991a53d1a212334d,"Locust, NC • Oakboro, NC","Apr 13 - 14, 2019",
,Inaugural Sabers Wiffleball Tournament,Public/Results/Tournament.aspx?IDTournament=h201901262252210417e9dd4ccce2e4d,"Franklin, WI","Mar 16, 2019",
,Pot of Gold - South Bay,Public/Results/Tournament.aspx?IDTournament=h201812272213158619ef2bed2992b4e,"Pleasanton, CA • Tracy, CA","Mar 16 - 17, 2019",
,Middle School State & Rustbuster,Public/Results/Tournament.aspx?IDTournament=h20190409011920650abfa60173e354c,"Danville, KY • Frankfort, KY","Apr 13, 2019",
,Napa High Softball Spring Tournament 2019,Public/Results/Tournament.aspx?IDTournament=h20180828184610785fc763564c82648,"Napa, CA","Apr 19 - 20, 2019",
,Motel 6 Field of Dreams,Public/Results/Tournament.aspx?IDTournament=h201903141630124994260f87830814d,"Pekin, IL","Mar 15 - 17, 2019",
,Autism Awareness,Public/Results/Tournament.aspx?IDTournament=h201904100349061408144ab64ad7847,"West Covina, CA","Apr 13 - 14, 2019",
,Orland A's Spring Showdown,Public/Results/Tournament.aspx?IDTournament=h20190411205641440ca3902b5c95149,"Frankfort, IL • Mokena, IL","Apr 27 - 28, 2019",
,AAU Spring League 2019,Public/Results/Tournament.aspx?IDTournament=h201901180102405330858ba00541843,"Des Moines, IA • Johnston, IA","Mar 30 - Apr 28, 2019",
,Blastoff I,Public/Results/Tournament.aspx?IDTournament=h201903210015207791e4fcd0d282f40,"Springfield, IL","Apr 6, 2019",
,March Friendly FREE,Public/Results/Tournament.aspx?IDTournament=h20190311191040593891146ff56fe4d,"Chattanooga, TN","Mar 16 - 17, 2019",
,31 North Spring 2019 Season,Public/Results/Tournament.aspx?IDTournament=h20190227205543138c881eb7061b547,"Fultondale, AL • Gardendale, AL • Morris, AL • Warrior, AL","Apr 1 - May 11, 2019",
,Sweet 16 - BLD Manteca,Public/Results/Tournament.aspx?IDTournament=h2018122722144385271556e0c78e240,"Manteca, CA","Mar 23 - 24, 2019",
,2019 Battle of the Black Forest,Public/Results/Tournament.aspx?IDTournament=h20190208010305968b5c22925f0a045,"Elizabeth, CO • Kiowa, CO","Mar 30 - 31, 2019",
,LS Winter Championships 16u 18u,Public/Results/Tournament.aspx?IDTournament=h2018100418284731341893e0178e944,"PEORIA, IL","Feb 22 - 24, 2019",
,2019 NWZ U6/U8,Public/Results/Tournament.aspx?IDTournament=h2019032821495978518807308d45d4d,"Edmonton, AB","May 6 - Jun 20, 2019",
,Softball - Frozen Free-Bee Feb 23-24 (3GG),Public/Results/Tournament.aspx?IDTournament=h2019010605284332792f5f78447184e,"Del City, OK","Feb 23 - 24, 2019",
,31 North Spring 2019 Preseason,Public/Results/Tournament.aspx?IDTournament=h20190226215606934f60dcd68501e4c,"Fultondale, Al • Hayden, Al • Morris, Al • Trafford, Al • Warrior, Al","Mar 18 - 23, 2019",
,2019 OHIO INVITATIONAL,Public/Results/Tournament.aspx?IDTournament=h20180816125716643d2de4f133c174b,"Akron, OH","Apr 5 - 7, 2019",
,"1st to 3rd Softball Events ""Clash of the Titans"" - Powered by Easton",Public/Results/Tournament.aspx?IDTournament=h20181130055044104279d91bb21da4a,"Lincoln, CA","Mar 2 - 3, 2019",
,Junior Olympic Series  - Emerald City Classic,Public/Results/Tournament.aspx?IDTournament=h2018120602425496389516631df0b4f,"Dublin, GA","Mar 16 - 17, 2019",
,Softball  April 12-14 - Duel on the Diamond (4GG),Public/Results/Tournament.aspx?IDTournament=h201901161753090450ddb0da0c45d4d,"Harrah, OK","Apr 12 - 14, 2019",
,mock,Public/Results/Tournament.aspx?IDTournament=h2019011402034300585d670d6fee043,"Jacksonvile, FL","Apr 1 - 2, 2019",
,2019 High School Dome Softball League,Public/Results/Tournament.aspx?IDTournament=h20181115181622788370ecbea210f45,"Manheim, PA","Jan 2 - Feb 24, 2019",
,"1st to 3rd Events - ""The Whole Enchilada"" Bash for Cash",Public/Results/Tournament.aspx?IDTournament=h201812011818079253cf7482991284e,"Lincoln, CA • Stockton, CA","May 4 - 5, 2019",
,25th Annual LIVERMORE STAMPEDE,Public/Results/Tournament.aspx?IDTournament=h20190211234530519ef311151eafb4e,"Livermore, CA","Apr 4 - 6, 2019",
,Hot Tamale,Public/Results/Tournament.aspx?IDTournament=h20190215192625866ab12937898b34f,"Sacramento, CA","Apr 27 - 28, 2019",
,North Royalton Lady Bear Bash,Public/Results/Tournament.aspx?IDTournament=h20190325230820312d1d81e14ab294b,"North Royalton, OH","May 3 - 5, 2019",
,Spring Thurs Softball,Public/Results/Tournament.aspx?IDTournament=h201901302247262686530cbbe514643,"Antioch, TN • Madison, TN • Nashville, TN","Mar 14 - May 16, 2019",
,Spring NIT - Pleasanton,Public/Results/Tournament.aspx?IDTournament=h20190301212435807ed1b898c092a4f,"Pleasanton, CA","Apr 6 - 7, 2019",
,Hot Tamale - Sacramento Area,Public/Results/Tournament.aspx?IDTournament=h20190301220901925d2aa8908c60449,"North Highlands, CA • Sacramento, CA","Apr 27 - 28, 2019",
,St. Patrick's Day Shootout 10u 12u,Public/Results/Tournament.aspx?IDTournament=h201810041834113505f13d26fd0674f,"PEORIA, IL","Mar 15 - 17, 2019",
,Friends of Jaclyn - Battle In The Swamp - Arkansas,Public/Results/Tournament.aspx?IDTournament=h201811160338342223fc185794a4341,"Newberry, FL","Apr 6, 2019",
,2019 Grand Slam,Public/Results/Tournament.aspx?IDTournament=h201808281408506764cf6561f42bf44,"Akron, OH","Apr 26 - 28, 2019",
,Valley Extreme Double Trouble,Public/Results/Tournament.aspx?IDTournament=h20181024233911842e017592d2ae345,"Warren, OH","May 3 - 5, 2019",
,Adult Softball - Spring 2019,Public/Results/Tournament.aspx?IDTournament=h201901151533549142c9d6a7afbe34d,"Ringgold, GA","Apr 8 - Jun 7, 2019",
,1st  Annual Allen Police Department Softball Tournament benefiting Special Olympics Texas,Public/Results/Tournament.aspx?IDTournament=h2019042519443349838621cd1d2de41,"Allen, TX","Apr 27, 2019",
,2019 JV Jamboree I,Public/Results/Tournament.aspx?IDTournament=h201808281400042615020d153115d4b,"Akron, OH","Apr 12 - 14, 2019",
,Shake the Lake,Public/Results/Tournament.aspx?IDTournament=h201904190240228960f247653362f4b,"Prior Lake, MN","May 4 - 5, 2019",
,"10th Annual Chick-fil-A ""Duel on the Diamond"" SOFTBALL",Public/Results/Tournament.aspx?IDTournament=h201903131149348698cee6ee4a16a40,"Ringgold, Ga","Apr 27 - 28, 2019",
,Red Rooster - Freedom Park (Saturday Only),Public/Results/Tournament.aspx?IDTournament=h201903012114576518235b778a56940,"North Highlands, CA","Mar 30 - 31, 2019",
,PGF Florida Legacy Prospects,Public/Results/Tournament.aspx?IDTournament=h20180827140219378196ced44393b4c,"Newberry, FL","Feb 16 - 17, 2019",
,California Pride,Public/Results/Tournament.aspx?IDTournament=h2018122722065588516d1571db5e340,"Hayward, CA • North Highlands, CA • Sacramento, CA","Feb 23 - 24, 2019",
,Double Double - Reno,Public/Results/Tournament.aspx?IDTournament=h20190302165312250ed46589eb6c644,"Reno, NV","May 4 - 5, 2019",
,East Texas Softball Classic,Public/Results/Tournament.aspx?IDTournament=h201903291240542684b0cba62e5b943,"Chandler, TX","Apr 27 - 28, 2019",
,2019 Spirit Softball,Public/Results/Tournament.aspx?IDTournament=h2019040814573238224c232264e8a41,"Lincoln, NE","Apr 25 - Jul 13, 2019",
,Mardi Gras,Public/Results/Tournament.aspx?IDTournament=h2019021519032024668016383a13f4b,"Sacramento, CA","Mar 16 - 17, 2019",
,April D-Bat  Softball Bash ,Public/Results/Tournament.aspx?IDTournament=h20190324203654009b09c147c0c8646,"Oklahoma City, OK","Mar 30 - Apr 7, 2019",
,Capital City Early Bird I,Public/Results/Tournament.aspx?IDTournament=h20190409221228850742d6dd1f8bb4e,"Springfield, IL","Apr 13, 2019",
,Queen of the Hill - South Bay/Hayward,Public/Results/Tournament.aspx?IDTournament=h20181227223622614662690ee7a3e4e,"Hayward, CA","Apr 13 - 14, 2019",
,Capital City Early Bird II,Public/Results/Tournament.aspx?IDTournament=h20190410130040693e79ce8c5baa047,"Springfield, IL","Apr 14, 2019",
,Sunday Spring League,Public/Results/Tournament.aspx?IDTournament=h2018121500243786314d030cc07a649,"Cincinnati, OH","Apr 14 - Jun 2, 2019",
,OC Spring Ball 2019,Public/Results/Tournament.aspx?IDTournament=h201902012048171302bac34f08dfb48,"Aliso Viejo, CA • Ladera Ranch, CA • Laguna Niguel, CA • Newport Beach, CA • Rancho Santa Margarita, CA • San Clemente, CA • San Juan Capistrano, CA","Jan 26 - May 11, 2019",
,Bomber Shootout,Public/Results/Tournament.aspx?IDTournament=h201902111836223499e97b4992fbb4e,"Austin, TX • Georgetown, TX • Georgetown,, TX • Round Rock, TX","Mar 2 - 3, 2019",
,"April's Finest Sponsored By OnDeck Softball, Schutt, Bownet, & HeyBucket",Public/Results/Tournament.aspx?IDTournament=h201904162112337314b45c6cf32de4f,"Chino Hills, CA • Fountain Valley, CA • Hemet, CA • Huntington Beach, CA • Irvine, CA • Lake Elsinore, CA • Perris, CA","Apr 27 - 28, 2019",
,"1st to 3rd Softball Events - PGF ""Break Your Heart"" Friendly - Powered by Blast Motion Sensor",Public/Results/Tournament.aspx?IDTournament=h201811300516583100c4ddb8675dd40,"Modesto, Ca","Feb 9, 2019",
,USA Fastpitch National Championships Futures Qualifier 10/12/14u,Public/Results/Tournament.aspx?IDTournament=h20180827020211178f560ddfa30b24d,"Jacksonville, FL","Mar 2 - 3, 2019",
,16th Annual Fox Country Girls Varsity Fast Pitch Tournament,Public/Results/Tournament.aspx?IDTournament=h201805281456366405bd77622b3c34c,"EL PASO, TX","Feb 28 - Mar 2, 2019",
,UF PGF day at the park one day #1--Gator Ball,Public/Results/Tournament.aspx?IDTournament=h20181031173748343754f4dc1289146,"newberry, FL","Feb 23, 2019",
,Spring Wed Softball,Public/Results/Tournament.aspx?IDTournament=h201901302242517062c05c4b89ac448,"Antioch, TN • Madison, TN • Nashville, TN","Mar 13 - May 15, 2019",
,Weekend 4 march 8-10,Public/Results/Tournament.aspx?IDTournament=h20190218164818046c14b993ac81b48,"Rosemont, IL","Mar 8 - 10, 2019",
,Queen of the Hill - Reno,Public/Results/Tournament.aspx?IDTournament=h201903012133161268b6aa20a06364e,"Reno, NV","Apr 13 - 14, 2019",
,Easter Saturday - BLD Manteca,Public/Results/Tournament.aspx?IDTournament=h20190106225151882d8dcb125353046,"Manteca, CA","Apr 20, 2019",
,2019 Sports Express Kickoff Classic,Public/Results/Tournament.aspx?IDTournament=h2019010316355134353291690505e46,"Milford, NE","May 3 - 5, 2019",
,"1st to 3rd Softball Events - ""Sweatheart Jam"" Friendly Powered by Easton",Public/Results/Tournament.aspx?IDTournament=h20190130142150457db0fc80388ce45,"Modesto, Ca","Feb 10, 2019",
,Bownet Challenge,Public/Results/Tournament.aspx?IDTournament=h20181221214136461fd78915448a24e,"North Highlands, CA","Feb 16 - 17, 2019",
,East Brainerd Softball Invitational,Public/Results/Tournament.aspx?IDTournament=h2019040318324007439e191fc001044,"Chattanooga, TN","Apr 26 - 27, 2019",
,DIAMOND GIRL CLASSIC,Public/Results/Tournament.aspx?IDTournament=h201808272200132814007f9c15b6f42,"Romeoville, IL","Apr 18 - 20, 2019",
,2019 Hastings Spring Hitfest,Public/Results/Tournament.aspx?IDTournament=h2019022414391274831893189468241,"Hastings, NE","May 4 - 5, 2019",
,TEAM  1  Midwest National Qualifier,Public/Results/Tournament.aspx?IDTournament=h20181125160036330c33dca08e1254d,"Joplin, MO","Mar 16 - 17, 2019",
,Mardi Gras - South Bay,Public/Results/Tournament.aspx?IDTournament=h2018122722110159585aeb36cfc004f,"Livermore, CA • Pleasanton, CA","Mar 9 - 10, 2019",
,PGF Tarheel Classic Series Pot O' Gold,Public/Results/Tournament.aspx?IDTournament=h20181220030213315bc12cac319f548,"Locust, NC • Oakboro, NC","Mar 16 - 17, 2019",
,Cobra Classic,Public/Results/Tournament.aspx?IDTournament=h201902010320375266d50830ac36c4b,"Willoughby, OH","Mar 8 - Apr 5, 2019",
